abbr.,appName,coreF,memF,time/ms,warps,achieved_occupancy,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,flop_count_sp,inst_issued,inst_per_warp
CG,conjugateGradient,800,1000,0.72185,131072,0.915598,1048634,153328,1603399,131078,786432,262144,16777210,12846954,98
CG,conjugateGradient,900,400,1.9761,131072,0.919411,1048656,153002,1598299,131091,786432,262144,16777210,12847877,98
CG,conjugateGradient,900,500,1.5445,131072,0.918204,1048644,153256,1599444,131078,786432,262144,16777210,12847534,98
CG,conjugateGradient,900,600,1.194,131072,0.919064,1048636,129060,1600753,131078,786432,262144,16777210,12847346,98
CG,conjugateGradient,900,700,1.0166,131072,0.9194,1048640,152736,1601480,131078,786432,262144,16777210,12847182,98
CG,conjugateGradient,900,800,0.88391,131072,0.917975,1048639,153325,1602188,131078,786432,262144,16777210,12846983,98
CG,conjugateGradient,900,900,0.78735,131072,0.916318,1048636,153196,1602613,131078,786432,262144,16777210,12846915,98
CG,conjugateGradient,900,1000,0.70856,131072,0.914693,1048646,153184,1603014,131078,786432,262144,16777210,12846846,98
CG,conjugateGradient,1000,400,1.9754,131072,0.918805,1048651,152992,1597825,131078,786432,262144,16777210,12847913,98
CG,conjugateGradient,1000,500,1.5436,131072,0.918228,1048632,153148,1598935,131078,786432,262144,16777210,12847545,98
CG,conjugateGradient,1000,600,1.1823,131072,0.918983,1048640,128675,1600473,131078,786432,262144,16777210,12847414,98
CG,conjugateGradient,1000,700,1.0139,131072,0.919038,1048641,152862,1601055,131078,786432,262144,16777210,12847175,98
CG,conjugateGradient,1000,800,0.87956,131072,0.91788,1048639,153186,1601797,131091,786432,262144,16777210,12847066,98
CG,conjugateGradient,1000,900,0.77855,131072,0.915785,1048634,153622,1602275,131078,786432,262144,16777210,12846929,98
CG,conjugateGradient,1000,1000,0.70295,131072,0.91414,1048637,153670,1602765,131078,786432,262144,16777210,12846962,98
convS,convolutionSeparable,400,400,3.7877,36864,0.909042,1208691,1177800,1503638,1179654,9510912,737280,320864256,12094480,328
convS,convolutionSeparable,400,500,2.9515,36864,0.911971,1207836,1175762,1467610,1179655,9510912,737280,320864256,12096075,328
convS,convolutionSeparable,400,600,2.4523,36864,0.911829,1193731,1176004,1490338,1179654,9510912,737280,320864256,12094842,328
convS,convolutionSeparable,400,700,2.0442,36864,0.909089,1202499,1177641,1470885,1179658,9510912,737280,320864256,12095860,328
convS,convolutionSeparable,400,800,1.7664,36864,0.904533,1191311,1180781,1472477,1179654,9510912,737280,320864256,12095209,328
convS,convolutionSeparable,400,900,1.6472,36864,0.957264,1191288,1182209,1473891,1179654,9510912,737280,320864256,12094413,328
convS,convolutionSeparable,400,1000,1.6326,36864,0.957872,1198188,1182397,1476017,1179673,9510912,737280,320864256,12094399,328
convS,convolutionSeparable,500,400,3.8693,36864,0.908167,1222698,1177982,1519935,1179654,9510912,737280,320864256,12094657,328
convS,convolutionSeparable,500,500,2.9689,36864,0.911461,1204964,1177493,1502325,1179654,9510912,737280,320864256,12094237,328
convS,convolutionSeparable,500,600,2.3796,36864,0.911897,1180223,1175667,1462710,1179655,9510912,737280,320864256,12093947,328
convS,convolutionSeparable,500,700,2.0041,36864,0.912806,1192287,1176308,1475771,1179654,9510912,737280,320864256,12093867,328
convS,convolutionSeparable,500,800,1.7304,36864,0.908708,1197423,1178434,1483776,1179654,9510912,737280,320864256,12093879,328
convS,convolutionSeparable,500,900,1.5241,36864,0.90649,1180065,1181450,1462441,1179654,9510912,737280,320864256,12093780,328
convS,convolutionSeparable,500,1000,1.3921,36864,0.907226,1200762,1181687,1485124,1179654,9510912,737280,320864256,12093780,328
convS,convolutionSeparable,600,400,3.8301,36864,0.904748,1220431,1176967,1498677,1179681,9510912,737280,320864256,12094683,328
convS,convolutionSeparable,600,500,2.978,36864,0.907912,1220227,1177742,1513261,1179658,9510912,737280,320864256,12094397,328
convS,convolutionSeparable,600,600,2.4073,36864,0.90861,1208345,1174143,1480630,1179687,9510912,737280,320864256,12093926,328
convS,convolutionSeparable,600,700,2.0248,36864,0.910308,1197442,1174486,1482981,1179654,9510912,737280,320864256,12093769,328
convS,convolutionSeparable,600,800,1.7218,36864,0.910728,1180193,1178096,1462767,1179654,9510912,737280,320864256,12093684,328
convS,convolutionSeparable,600,900,1.5127,36864,0.909335,1180126,1179204,1462641,1179655,9510912,737280,320864256,12093577,328
convS,convolutionSeparable,600,1000,1.353,36864,0.906853,1180069,1180570,1462737,1179654,9510912,737280,320864256,12093587,328
convS,convolutionSeparable,700,400,3.7858,36864,0.90445,1180803,1178518,1462690,1179654,9510912,737280,320864256,12094629,328
convS,convolutionSeparable,700,500,2.9911,36864,0.907917,1228800,1177559,1506078,1179656,9510912,737280,320864256,12094356,328
convS,convolutionSeparable,700,600,2.4312,36864,0.905396,1213138,1173468,1486892,1179654,9510912,737280,320864256,12093996,328
convS,convolutionSeparable,700,700,1.9965,36864,0.90796,1180341,1176529,1462734,1179655,9510912,737280,320864256,12093813,328
convS,convolutionSeparable,700,800,1.718,36864,0.907767,1180251,1177803,1462540,1179655,9510912,737280,320864256,12093693,328
convS,convolutionSeparable,700,900,1.5097,36864,0.909591,1180185,1178672,1462707,1179654,9510912,737280,320864256,12093593,328
convS,convolutionSeparable,700,1000,1.3484,36864,0.909881,1180126,1180081,1462570,1179654,9510912,737280,320864256,12093497,328
convS,convolutionSeparable,800,400,3.7907,36864,0.901673,1180913,1178654,1462615,1179655,9510912,737280,320864256,12094856,328
convS,convolutionSeparable,800,500,2.9689,36864,0.907144,1180642,1179491,1462674,1179654,9510912,737280,320864256,12094480,328
convS,convolutionSeparable,800,600,2.3762,36864,0.904464,1181112,1174120,1462667,1179654,9510912,737280,320864256,12094334,328
convS,convolutionSeparable,800,700,1.9929,36864,0.904534,1180702,1175065,1462739,1179667,9510912,737280,320864256,12094038,328
convS,convolutionSeparable,800,800,1.7182,36864,0.90685,1180505,1176037,1462633,1179654,9510912,737280,320864256,12093893,328
convS,convolutionSeparable,800,900,1.5078,36864,0.90864,1180371,1178085,1462601,1179654,9510912,737280,320864256,12093661,328
convS,convolutionSeparable,800,1000,1.3451,36864,0.90871,1180350,1179196,1462829,1179654,9510912,737280,320864256,12093616,328
convS,convolutionSeparable,900,400,3.8081,36864,0.895855,1181602,1178294,1462745,1179681,9510912,737280,320864256,12095413,328
convS,convolutionSeparable,900,500,2.9691,36864,0.902645,1181010,1178151,1462570,1179667,9510912,737280,320864256,12094888,328
convS,convolutionSeparable,900,600,2.3766,36864,0.908058,1181124,1174546,1462607,1179667,9510912,737280,320864256,12094403,328
convS,convolutionSeparable,900,700,1.994,36864,0.906536,1180962,1175318,1462625,1179667,9510912,737280,320864256,12094201,328
convS,convolutionSeparable,900,800,1.7167,36864,0.905768,1180625,1175118,1462553,1179654,9510912,737280,320864256,12093857,328
convS,convolutionSeparable,900,900,1.5077,36864,0.905941,1180464,1176954,1462713,1179654,9510912,737280,320864256,12093760,328
convS,convolutionSeparable,900,1000,1.344,36864,0.907252,1180385,1177449,1462645,1179667,9510912,737280,320864256,12093621,328
convS,convolutionSeparable,1000,400,3.828,36864,0.900919,1181869,1178345,1462788,1179654,9510912,737280,320864256,12095576,328
convS,convolutionSeparable,1000,500,2.9696,36864,0.897904,1181167,1178875,1462537,1179667,9510912,737280,320864256,12094899,328
convS,convolutionSeparable,1000,600,2.3783,36864,0.906271,1181073,1174619,1462799,1179654,9510912,737280,320864256,12094523,328
convS,convolutionSeparable,1000,700,1.995,36864,0.90577,1181291,1175160,1462641,1179667,9510912,737280,320864256,12094116,328
convS,convolutionSeparable,1000,800,1.716,36864,0.904098,1180843,1174605,1462634,1179654,9510912,737280,320864256,12094047,328
convS,convolutionSeparable,1000,900,1.5073,36864,0.90531,1180553,1175689,1462712,1179671,9510912,737280,320864256,12093774,328
convS,convolutionSeparable,1000,1000,1.3428,36864,0.904903,1180255,1176760,1462570,1179654,9510912,737280,320864256,12093489,328
convT,convolutionTexture,400,400,2.4776,147456,0.834456,620672,591968,1204984,589830,0,0,250085376,14011801,95
convT,convolutionTexture,400,500,2.0273,147456,0.837797,603483,590445,1191991,589830,0,0,250085376,14011742,95
convT,convolutionTexture,400,600,1.7183,147456,0.841208,609763,592161,1189306,589830,0,0,250085376,14011579,95
convT,convolutionTexture,400,700,1.6733,147456,0.844854,603656,590449,1190227,589830,0,0,250085376,14011703,95
convT,convolutionTexture,400,800,1.6666,147456,0.84722,605619,591400,1197999,589830,0,0,250085376,14011570,95
