appName,coreF,memF,argNo,sparsity,N,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input26,0.995,9000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",96.183,(282 1 1500) (4 32 1),1692000,0.972709,0.9999,0.7324,0.400981,0.9569,261903000,91.689,429375000,9.004404,3.0305,10125000,3.989362,0.309,152560929,47.076,37185772,11.515,3732940430,1146.2,39417307,11.482,144243000,171.2,0.982709,107865000,131.15,0.992218,1112.4,3732592340,11.138,11.254,0.0919,350.28,1141440000,0,0,8405424000,3715416000,0,2.17E+10,4771008000,0,1986961500,1.17E+03,0.416686
cusparse,1417,5005,input27,0.995,10000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",132.99,(313 1 1666) (4 32 1),2085832,0.97441,0.9999,0.7398,0.373108,0.9564,325916248,90.113,587576542,9.133183,2.6459,12495000,3.99361,0.3107,228997726,51.208,45861474,10.322,5127493062,1122.7,51759198,10.291,177817178,154.77,0.982709,132971790,116.51,0.992218,1097.2,5126997252,9.8012,9.7947,0.0882,346.66,1554679546,0,0,1.14E+10,5084575356,0,2.82E+10,6385974588,0,2538562502,1.22E+03,0.388149
cusparse,1417,5005,input28,0.995,11000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",174.07,(344 1 1833) (4 32 1),2522208,0.976202,0.9999,0.7459,0.353258,0.9555,398026785,88.937,778621740,9.189996,2.4084,15122250,3.997093,0.3107,316137329,53.766,55471091,9.303,6834320015,1113.4,61454620,9.3216,215018232,138.21,0.982709,160790760,105.85,0.992218,1090.6,6833684910,8.9146,8.7954,0.0854,344.14,2059082220,0,0,1.50E+10,6758787906,0,3.57E+10,8332557714,0,3181050522,1.26E+03,0.36724
cusparse,1417,5005,input29,0.995,12000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",113.31,(375 1 1864) (4 32 1),2796000,0.978057,0.9994,0.7523,0.33513,0.9549,238971000,87.801,506061000,9.290296,2.2687,9000000,4,0.3107,208546561,53.621,32997314,8.6278,4445063049,1130.4,42452842,8.5002,127875000,125.33,0.982709,95625000,97.728,0.992218,1096.2,4444639651,8.2105,8.2115,0.0836,343.17,1332575000,0,0,9639492000,4387746000,0,2.22E+10,5323746000,0,1957412000,1.30E+03,0.349096
cusparse,1417,5005,input30,0.995,13000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",144.31,(407 1 1720) (4 32 1),2800160,0.978845,0.9998,0.7582,0.319629,0.9544,283378863,86.308,642395529,9.36652,2.0601,10559250,3.992629,0.3125,266933433,55.456,38765848,8.015,5657942605,1124.6,51036336,7.255,150306321,117.96,0.982709,112399155,88.656,0.992218,1082.4,5657433674,7.4934,7.4636,0.0813,342.68,1687733121,0,0,1.22E+10,5572483362,0,2.72E+10,6672516786,0,2373842862,1.35E+03,0.332573
cusparse,1417,5005,input31,0.995,14000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",180.05,(438 1 1597) (4 32 1),2797944,0.980962,0.9999,0.6958,0.476566,0.9747,609439091,68.112,697541337,8.234116,1.8934,12248250,3.995434,0.3883,322044572,52.623,44944590,7.2792,7036191808,1119.1,67907749,7.3919,435820731,278.89,0.993015,301957857,195.55,0.996627,1099.6,7035382951,7.065,7.0287,0.0722,333.52,2099245065,0,0,1.71E+10,6958188831,0,4.49E+10,1.02E+10,0,4413193787,2.16E+03,0.498736
groupspgemm,1417,5005,input00,0.98,500,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",0.043368,(125 4 1) (128 1 1),2000,0.706406,0.8478,0.9775,2.456539,1,459488,236.42,633262,7.581797,23.705,35250,4.40625,0.4446,30084,20.262,5515,3.2503,352269,236.83,35263,23.803,314784,845.79,1,10360,27.952,0.74,236.92,351712,23.723,29.357,0.4438,220.02,326434,0,0,4960000,0,0,52969400,4960000,0,2972392,1.49E+03,2.010317
groupspgemm,1417,5005,input01,0.98,1000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",0.24013,(250 8 1) (128 1 1),8000,0.917894,0.9624,0.9771,3.262675,1,3611808,311.56,5081818,7.727355,15.429,125000,3.90625,0.5026,128142,15.868,89983,11.132,2529072,311.31,125013,15.417,2553504,1257.5,1,46064,22.782,0.822571,310.98,2527825,15.397,15.37,0.5025,319.34,2583526,0,0,40208000,0,0,415475320,40208000,0,23239088,2.90E+03,2.564671
groupspgemm,1417,5005,input02,0.98,1500,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",0.7463,(375 12 1) (128 1 1),18000,0.96841,0.9844,0.9974,3.370103,1,11840695,380.09,17092389,7.929248,12.602,316500,4.489362,0.4416,371166,14.821,271151,10.801,9546983,380.33,316517,12.609,8435231,1343.6,1,129516,20.638,0.847174,380.19,9543658,12.605,12.598,0.4415,342.91,8608088,0,0,135582000,0,0,1387963320,135582000,0,76020077,4.22E+03,2.605551
groupspgemm,1417,5005,input03,0.98,2000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",1.3409,(500 16 1) (128 1 1),32000,0.981125,0.9914,0.9922,3.371665,1,28132590,443.51,40294928,7.907938,8.5672,500000,3.968254,0.5011,898847,15.407,476077,8.1565,20109994,344.53,500016,8.57,20035197,1374.3,1,350224,24.027,0.785678,344.7,20103472,8.5682,8.57,0.5011,346.54,20196992,0,0,320324000,0,0,3266997040,320324000,0,180156950,5.63E+03,2.644721
groupspgemm,1417,5005,input04,0.98,3000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",4.4819,(750 24 1) (128 1 1),72000,0.992478,0.998,0.9974,3.387939,1,93898740,453.66,135687306,7.970469,7.2308,1125000,3.989362,0.5006,3346914,17.365,1111808,5.7695,67778319,352,1125013,5.8431,67265648,1423.1,1,922512,22.168,0.853722,407.1,67756377,6.7586,6.7577,0.5006,408.73,68028848,0,0,1081218000,0,0,1.10E+10,1081218000,0,600691202,8.34E+03,2.679401
groupspgemm,1417,5005,input05,0.98,4000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",10.838,(1000 32 1) (128 1 1),128000,0.995233,0.9989,1,3.383885,1,221467375,449.97,320654432,8.002464,5.6159,2000000,4,0.5004,9224144,25.011,1993494,4.8457,160256745,434.05,2000017,4.8615,158744375,1776.2,1,2237888,25.311,0.832548,453.02,160211520,5.6541,5.6541,0.5004,452.85,160153440,0,0,2558664000,0,0,2.59E+10,2558664000,0,1414871832,1.11E+04,2.67357
groupspgemm,1417,5005,input06,0.98,5000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",21.736,(1250 40 1) (128 1 1),200000,0.996852,0.9994,0.9953,3.269616,1,433063003,433.44,623875020,7.971212,4.3605,3125000,3.980892,0.5002,47441355,66.349,3128702,4.3735,311875786,434.6,3125036,4.3735,310567509,1733.3,1,4361440,24.417,0.82608,433.05,311796310,4.2683,4.3465,0.5002,431.26,311898412,0,0,4981850000,0,0,5.03E+10,4981850000,0,2764861123,1.38E+04,2.590272
groupspgemm,1417,5005,input07,0.98,6000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",37.828,(1500 47 1) (128 1 1),282000,0.997303,0.9993,0.9974,3.255612,1,747031912,432.56,1079021994,7.992556,3.5902,4500000,3.989362,0.5001,114844255,91.895,4491516,3.5698,539505670,427.26,4500063,3.6042,536608024,1707.5,1,6839534,21.889,0.851444,429.39,539366190,3.5986,3.5586,0.5001,432.78,538351977,0,0,8626368000,0,0,8.70E+10,8626368000,0,4767934928,1.69E+04,2.588032
groupspgemm,1417,5005,input08,0.98,7000,"void sparse_dense_groupcoo_mat_mul_kernel<int=128, int=4>",62.685,(1750 55 1) (128 1 1),385000,0.998189,0.9997,0.9989,3.114023,1,1184884631,413.99,1714292875,8.007799,2.9402,6125000,3.995434,0.5,277170457,133,6119257,2.9504,857298358,412.19,6169785,2.9663,851407395,1625.5,1,11218350,21.465,0.836162,409.09,857066880,2.9337,2.9197,0.5,412.01,855958166,0,0,1.37E+10,0,0,1.38E+11,1.37E+10,0,7560833198,1.96E+04,2.497685
