,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,c_to_m,inst_per_warp,real_cycle
29,convolutionTexture,0.08807919260971096,0.1260995923397616,0.0,1.4313435288836038,0.5578029928737573,0.0,0.22111494817749236,0.869079,1.132867132867133,94.941452,86.23638961665158
30,fastWalshTransform,0.5134888648986816,0.5140764823326698,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.8309200000000001,1.4153846153846155,65.0,87.89560145120194
31,fastWalshTransform,0.5184163460364708,0.5191134306100699,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.836925,1.681118881118881,65.0,105.8266747132099
32,fastWalshTransform,0.521868162888747,0.5213927929217999,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.83973,1.8573426573426572,65.0,117.66955322289664
33,fastWalshTransform,0.5114869411175068,0.5120194068321815,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.80901,0.848951048951049,65.0,51.335014859675496
34,fastWalshTransform,0.5113057870131272,0.512034746316763,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.822154,1.132867132867133,65.0,69.59502729816707
35,gaussian,0.17705389559052157,0.7054473832293396,0.0,0.23997516593580734,0.03998267948040227,0.0,0.6997463068115474,0.12696500000000002,1.4153846153846155,49.994192,40.07671750618326
36,gaussian,0.1773095576887436,0.7055001847729232,0.0,0.23997516593580734,0.03998267948040227,0.0,0.6997463068115474,0.11678,1.681118881118881,49.994192,37.47219599806058
37,gaussian,0.17536835700966372,0.705488481829647,0.0,0.23997516593580734,0.03998267948040227,0.0,0.6997463068115474,0.111953,1.8573426573426572,49.994192,36.50650924905187
38,gaussian,0.1738178934758128,0.7054871083790913,0.0,0.23997516593580734,0.03998267948040227,0.0,0.6997463068115474,0.11498,0.848951048951049,49.994192,32.49664503694765
39,gaussian,0.17995389828735436,0.7054916770097591,0.0,0.23997516593580734,0.03998267948040227,0.0,0.6997463068115474,0.117827,1.132867132867133,49.994192,33.584009284827125
40,histogram,0.0461649268695447,0.04324695357558305,0.5282539747907363,0.04264896567993427,0.0,0.0,0.36242156486667315,0.402281,1.4153846153846155,136590.0,23.43918396123692
41,histogram,0.044009581594553045,0.042690269338083967,0.5282539747907363,0.04264896567993427,0.0,0.0,0.36242156486667315,0.401914,1.681118881118881,136590.0,24.537115184057136
42,histogram,0.04611677994159325,0.042689649071430316,0.5282539747907363,0.04264896567993427,0.0,0.0,0.36242156486667315,0.402514,1.8573426573426572,136590.0,25.061407340409172
43,histogram,0.04455788206392204,0.04268979651186438,0.5282539747907363,0.04264896567993427,0.0,0.0,0.36242156486667315,0.402363,0.848951048951049,136590.0,23.192064358114646
44,histogram,0.048107205464854266,0.043468027796080735,0.5282539747907363,0.04264896567993427,0.0,0.0,0.36242156486667315,0.402598,1.132867132867133,136590.0,23.344310342227097
45,matrixMulShared,0.03970931708514161,0.08308393509520104,0.5170463725965423,0.08272741961544676,0.6618243963426795,0.0,0.13927936661819357,0.9957370000000001,1.4153846153846155,6189.0,49.191008134702216
