,n_shm_ld,n_shm_st,n_gld,n_gst,n_dm_ld,n_dm_st,n_flop_sp,other_insts,real_cycle,c_to_m,act_util,appName
92,0.0,0.0,0.0046507104144888605,0.0023310877108421637,0.0023311272317218454,0.0023276691547497548,0.9883594054881975,0.0,3.53335428449092,0.5454285714285714,0.828199,convolutionTexture
93,0.0,0.0,0.004650635545374116,0.002331087821394133,0.002331162911069089,0.002327661360963288,0.9883594523611994,0.0,3.3290060489945645,0.47725,0.829091,convolutionTexture
94,0.0,0.0,0.004650674735417894,0.002331087655566183,0.002331190409850917,0.002327665147466962,0.988359382051698,0.0,3.1958168005288714,0.4242222222222222,0.829958,convolutionTexture
95,0.0,0.0,0.00465066716207936,0.0023310878213941336,0.0023311352464520005,0.002327657408875133,0.9883594523611995,0.0,3.1235913734716116,0.3818,0.831192,convolutionTexture
96,0.032994829618630796,0.032994829618630796,0.010153620421530396,0.01015238113255734,0.01015262318118489,0.01015325250761652,0.8933984635198493,0.0,8.946794361254227,0.48828571428571427,0.970925,fastWalshTransform
97,0.03299487274499458,0.03299487274499458,0.010153256096612617,0.01015239440237225,0.010152471858034305,0.010152500903907576,0.8933996312490841,0.0,8.264274145383286,0.42725,0.96921,fastWalshTransform
98,0.032994847508071724,0.032994847508071724,0.01015328705845163,0.010152386637068944,0.010152502820473162,0.010153180556997763,0.893398947910865,0.0,7.7937737086499554,0.37977777777777777,0.9654659999999999,fastWalshTransform
99,0.03299483856334883,0.03299483856334883,0.010153429535166882,0.010152383884812396,0.01015240324870785,0.010153400489323701,0.8933987057152915,0.0,7.304427903676337,0.3418,0.9643940000000001,fastWalshTransform
100,0.032994850063707726,0.032994850063707726,0.010153316890733963,0.010152387423428232,0.010152561698548057,0.010153016750249821,0.8933990171096244,0.0,8.555427329981411,0.45971428571428574,0.970664,fastWalshTransform
101,0.03299484878588967,0.03299484878588967,0.010153432680927025,0.010152387030248573,0.010152416076100752,0.010153084130700873,0.8933989825102434,0.0,7.845237659382219,0.40225,0.9691280000000001,fastWalshTransform
102,0.032994847508071724,0.032994847508071724,0.010153412923806197,0.010152386637068944,0.010152744869231949,0.010152812642884408,0.893398947910865,0.0,7.400769088098663,0.35755555555555557,0.964935,fastWalshTransform
103,0.03299482259064145,0.03299482259064145,0.010153260026888886,0.010152378970072271,0.01015243706173051,0.010154005536502943,0.8933982732235225,0.0,6.992378995498908,0.3218,0.964153,fastWalshTransform
104,0.0329948829675566,0.0329948829675566,0.01015329797016531,0.010152397547814945,0.01015249436742251,0.010152136134874515,0.8933999080446096,0.0,9.425305802162908,0.5168571428571429,0.970777,fastWalshTransform
105,0.03299486028625569,0.03299486028625569,0.010153252262781595,0.010152390568866602,0.01015265198162733,0.010152690709443734,0.8933992939047694,0.0,8.554184566290775,0.45225,0.968844,fastWalshTransform
106,0.032994861883529375,0.032994861883529375,0.010153446393389626,0.010152391060341524,0.010152584699432919,0.01015251692575093,0.8933993371540262,0.0,8.231116348509383,0.402,0.965618,fastWalshTransform
107,0.03299485996680097,0.03299485996680097,0.010153358665972355,0.010152390470571624,0.010152371106663609,0.01015287456827199,0.8933992852549185,0.0,7.8423513901087265,0.3618,0.963951,fastWalshTransform
108,0.032994864439167604,0.032994864439167604,0.01015372795653561,0.010152391846701496,0.010152478984299374,0.01015226598128234,0.893399406352846,0.0,9.982303307460176,0.5454285714285714,0.971118,fastWalshTransform
109,0.032994844313527276,0.032994844313527276,0.010153373212960238,0.010152385654120006,0.010152434063867077,0.01015325702956727,0.8933988614124309,0.0,9.061736959194834,0.47725,0.9693280000000001,fastWalshTransform
110,0.032994843035709674,0.032994843035709674,0.010153353455844392,0.010152385260940484,0.01015242398873664,0.010153324409997274,0.8933988268130618,0.0,8.66115647704253,0.4242222222222222,0.965723,fastWalshTransform
111,0.03299488073137062,0.03299488073137062,0.010153277918118327,0.010152396859749188,0.010152532407190594,0.010152183856626978,0.8933998474955737,0.0,8.075246094988506,0.3818,0.963936,fastWalshTransform
112,0.3373302805546397,0.1687772755398573,0.040831408214873584,0.0001497667664410931,0.04082780664828167,0.00016339431570779856,0.0,0.41192006796019887,34.43996940015543,0.48828571428571427,0.801409,histogram
113,0.3373306417467064,0.16877745625595805,0.040830381197419385,0.0001497669268019353,0.04082835653078901,0.0001618175868422834,0.0,0.411921579755483,34.42322109230377,0.42725,0.801953,histogram
114,0.33733055637396625,0.1687774135412084,0.04083116904961433,0.0001497668888984325,0.04082793737100297,0.00016247945596598436,0.0,0.4119206773193436,34.420611735047544,0.37977777777777777,0.801859,histogram
115,0.33732912474522414,0.1687766972509356,0.04083068427661868,0.00014976625328870573,0.04082801717968633,0.00016646967787231544,0.0,0.41191924061637425,34.45061079958195,0.3418,0.802617,histogram
116,0.33732970921604094,0.16877698968063368,0.04083017098476573,0.00014976651278009846,0.04082785430531417,0.00016497093842435386,0.0,0.41192053836204096,32.7636022214421,0.45971428571428574,0.801457,histogram
117,0.33733088473089556,0.16877757782882538,0.04083023539647791,0.00014976703468124055,0.04082801604876522,0.0001614672800788001,0.0,0.41192205168027596,32.31252667302506,0.40225,0.801737,histogram
118,0.33733015577937825,0.1687772131107488,0.040830731202433176,0.00014976671104379103,0.04082843398783508,0.0001631217043852756,0.0,0.41192057750417554,32.50146401175286,0.35755555555555557,0.80207,histogram
119,0.33732790984045624,0.16877608939469327,0.040829583301479164,0.0001497657138993621,0.040827188763222354,0.0001707519922801644,0.0,0.4119187109939695,32.308518522211635,0.3218,0.8023710000000001,histogram
120,0.3373279361085748,0.1687761025374846,0.04083108550092761,0.00014976572556179326,0.04082709460352215,0.00017077147336904335,0.0,0.4119172440505599,36.57251581808583,0.5168571428571429,0.801481,histogram
121,0.3373273976129605,0.16877583311067082,0.040829618641160005,0.0001497654864823167,0.04082831430116335,0.00017108268493521374,0.0,0.41191798816262787,36.570552429619205,0.45225,0.802227,histogram
122,0.3373304775683984,0.16877737411222793,0.04083063387647975,0.0001497668539106008,0.040827519006256724,0.00016312185999180088,0.0,0.41192110672273485,36.57336465229883,0.402,0.8024479999999999,histogram
