,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
560,matrixMulGlobal,0.0008981009604434477,0.17098873883864252,0.0,0.27315242020171815,0.06828810505042954,0.0,0.45347569760050865,0.00027717034825766384,0.975863,1.0,0.991,1.6,1.4,1.3922398959529836
561,matrixMulGlobal,0.0008973452294821116,0.170798029046806,0.0,0.2728483741702331,0.06821209354255828,0.0,0.4529709336810511,0.0002768618298693925,0.974875,1.0,0.9909,1.6,1.6,1.403961375077784
562,matrixMulGlobal,0.0008975418211220879,0.17036615237866906,0.0,0.27215841605665436,0.06803960401416359,0.0,0.45182549540655514,0.00027616172283580806,0.973493,1.0,0.9898,1.6,1.8,1.4094267077530045
563,matrixMulGlobal,0.0008981139249260032,0.17060788077206257,0.0,0.27254370565950403,0.06813592641487601,0.0,0.45246513634878593,0.0002765526798455355,0.974871,1.0,0.9898,1.6,2.0,1.4136780063688523
564,matrixMulGlobal,0.000988895980652029,0.17102150170953972,0.0,0.27310383573413627,0.06827595893353407,0.0,0.4533950397929997,0.0002771210491381846,0.976732,1.0,0.9901,1.8,1.0,1.5649940989932796
565,matrixMulGlobal,0.0008976973356168792,0.1708796023307578,0.0,0.2729776990759685,0.06824442476899213,0.0,0.4531856332315884,0.0002769930570762925,0.975633,1.0,0.9906,1.8,1.2,1.5932745128400343
566,matrixMulGlobal,0.0008988102647416387,0.17090462420533128,0.0,0.2730192179348691,0.06825480448371728,0.0,0.453254561024685,0.00027703518665571277,0.976077,1.0,0.9903,1.8,1.4,1.5961451045721489
567,matrixMulGlobal,0.0008944457953623684,0.17099183433821843,0.0,0.2731573782291601,0.06828934455729002,0.0,0.45348392870075405,0.00027717537921507487,0.975877,1.0,0.991,1.8,1.6,1.6013090562498982
568,matrixMulGlobal,0.0008994608014527359,0.17096521572997234,0.0,0.2731154534505939,0.06827886336264848,0.0,0.4534143270175875,0.00027713283774512477,0.975929,1.0,0.9908,1.8,1.8,1.619319269163534
569,matrixMulGlobal,0.0008981268446278951,0.17073020341398562,0.0,0.27274002330842645,0.06818500582710661,0.0,0.4527910543206299,0.00027675188522354675,0.975572,1.0,0.9898,1.8,2.0,1.619065420017592
570,matrixMulGlobal,0.0009748003377543606,0.1710132826956418,0.0,0.2731019274493664,0.0682754818623416,0.0,0.4533918717421122,0.000277119112783552,0.976408,1.0,0.9904,2.0,1.0,1.7319249237518521
571,matrixMulGlobal,0.0009696217156293422,0.170470189864775,0.0,0.27225118759880923,0.06806279689970231,0.0,0.45197951066208564,0.00027625585899842555,0.975422,1.0,0.9883,2.0,1.2,1.759314893742441
572,matrixMulGlobal,0.0010112285798660585,0.17066984618864647,0.0,0.27243472893641196,0.06810868223410299,0.0,0.4522842179608402,0.00027644210013231494,0.97522,1.0,0.9893,2.0,1.4,1.7726082449704446
