appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
backpropBackward,510,877,input00,bpnn_adjust_weights_cuda,0.32674000000000003,(1 32768 1) (16 16 1),262144.0,0.935154,0.9704999999999999,1.0,1.983442,1.0,1835015,535.49,5971982,3.254340,234.31,2621446,4.999992,0.7381,2291103,207.83,2228555,202.25,2431890,220.07,2621462,234.84,0,0.0,0.000000,0,0.0,0.000000,218.05,2435955,236.68,236.31,0.4241,875.93,2424611,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.863460
backpropBackward,652,877,input00,bpnn_adjust_weights_cuda,0.28036,(1 32768 1) (16 16 1),262144.0,0.933864,0.9693999999999999,1.0,1.812593,1.0,1835015,632.96,5970519,3.253584,273.29,2621446,4.999992,0.7387999999999999,2290877,245.52,2228574,236.21,2426262,256.52,2621462,281.49,0,0.0,0.000000,0,0.0,0.000000,257.57,2426356,276.91,276.9,0.4252,1024.1,2423455,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.825464
backpropBackward,720,877,input00,bpnn_adjust_weights_cuda,0.24739,(1 32768 1) (16 16 1),262144.0,0.932907,0.9676,1.0,1.820195,1.0,1835015,728.83,5969574,3.253544,314.68,2621446,4.999992,0.7384999999999999,2291141,280.24,2228560,271.42,2428822,294.84,2621462,320.3,0,0.0,0.000000,0,0.0,0.000000,296.84,2428486,318.19,318.28,0.4249,1184.6,2423962,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.839682
backpropBackward,735,877,input00,bpnn_adjust_weights_cuda,0.23516,(1 32768 1) (16 16 1),262144.0,0.931432,0.9676,1.0,1.899595,1.0,1835015,768.02,5970690,3.253948,333.66,2621446,4.999992,0.7382,2290946,295.48,2228547,284.02,2431678,308.95,2621462,337.51,0,0.0,0.000000,0,0.0,0.000000,313.17,2430935,333.6,336.19,0.4191,1249.5,2424505,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.866611
backpropBackward,802,877,input00,bpnn_adjust_weights_cuda,0.21197,(1 32768 1) (16 16 1),262144.0,0.930849,0.9688,1.0,1.907642,1.0,1835015,836.05,5970451,3.253707,363.26,2621446,4.999992,0.7382,2291110,321.29,2228564,312.62,2431574,339.77,2621462,367.08,0,0.0,0.000000,0,0.0,0.000000,340.48,2431066,366.44,366.28,0.42460000000000003,1358.0,2424605,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.863130
backpropBackward,945,877,input00,bpnn_adjust_weights_cuda,0.18411000000000002,(1 32768 1) (16 16 1),262144.0,0.933022,0.9688,1.0,1.816625,1.0,1835015,956.3,5970250,3.253373,417.6,2621446,4.999992,0.7384000000000001,2290642,367.48,2228570,357.69,2433481,388.56,2621462,420.1,0,0.0,0.000000,0,0.0,0.000000,389.36,2428921,419.44,419.44,0.4249,1554.7,2424029,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.833750
backpropForward,1087,877,input00,bpnn_layerforward_CUDA,0.15287,(1 32768 1) (16 16 1),262144.0,0.924538,0.9681000000000001,0.9612,12.949502,0.6667000000000001,3670016,308.82,1544203,2.945128,316.04,1572864,3.000000,0.6193,1173384,235.89,1179588,238.84,1245320,250.18,1572880,314.6,2179061,1743.7,1.072533,1304963,1041.6,1.021077,248.88,1245180,315.3,316.03,0.12240000000000001,2480.6,3098962,0,0,16252928,0,33554432,457703424,49807360,0,38010880,145.000000,2.996128
backpropForward,1237,877,input00,bpnn_layerforward_CUDA,0.13904,(1 32768 1) (16 16 1),262144.0,0.926740,0.9675,0.9612,11.843817,0.6667000000000001,3670016,337.97,1544207,2.945231,346.46,1572864,3.000000,0.6193,1173513,256.98,1179573,260.7,1245278,273.16,1572880,342.89,2174101,1895.8,1.070050,1304151,1137.1,1.020501,271.32,1245180,345.25,344.96,0.1225,2703.8,3098903,0,0,16252928,0,33554432,457703424,49807360,0,38010880,145.000000,2.888922
backpropForward,1380,877,input00,bpnn_layerforward_CUDA,0.12963,(1 32768 1) (16 16 1),262144.0,0.929582,0.9673999999999999,0.9612,10.821109,0.6667000000000001,3670016,358.29,1544195,2.945456,368.61,1572864,3.000000,0.6193,1173625,274.09,1179586,278.25,1245299,291.82,1572880,365.84,2168214,2015.1,1.067324,1302867,1210.4,1.019609,289.37,1245177,368.55,368.29,0.1225,2877.3,3098852,0,0,16252928,0,33554432,457703424,49807360,0,38010880,145.000000,2.757305
backpropForward,510,877,input00,bpnn_layerforward_CUDA,0.32005,(1 32768 1) (16 16 1),262144.0,0.929478,0.971,0.9612,15.233144,0.6667000000000001,3670016,148.58,1544400,2.945697,151.37,1572864,3.000000,0.6193,1173890,113.27,1179587,113.97,1245315,119.94,1572880,150.08,2183026,838.21,1.074493,1304871,489.89,1.021105,119.62,1245180,151.3,151.31,0.12240000000000001,1173.2,3099435,0,0,16252928,0,33554432,457703424,49807360,0,38010880,145.000000,3.023444
