appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
BlackScholes,900,900,BlackScholesGPU,0.901326,1.287827,1572939,1044611,1573124,1048595,0,0,1,2228224,425267618,1.6893,1.71764,55.36608571,54.98766596
BlackScholes,900,1000,BlackScholesGPU,0.898298,1.461851,1572951,1045334,1573088,1048582,0,0,1,2228224,425267618,1.5036,1.538643556,57.27157143,57.76734719
BlackScholes,1000,500,BlackScholesGPU,0.91544,0.560437,1572966,1045248,1573220,1048594,0,0,1,2228224,425267618,3.3532,3.285447111,49.64637143,50.80416922
BlackScholes,1000,600,BlackScholesGPU,0.911066,0.708645,1572946,1041804,1573200,1048582,0,0,1,2228224,425267618,2.6854,2.684317778,51.86447059,51.35156644
BlackScholes,1000,700,BlackScholesGPU,0.907919,0.856097,1572939,1042886,1573113,1048582,0,0,1,2228224,425267618,2.2446,2.254169206,54.1596,52.45090651
BlackScholes,1000,800,BlackScholesGPU,0.905008,1.009102,1572940,1043079,1573152,1048582,0,0,1,2228224,425267618,1.9273,1.950837778,55.84448571,55.12411269
BlackScholes,1000,900,BlackScholesGPU,0.903136,1.162128,1572955,1044031,1573189,1048583,0,0,1,2228224,425267618,1.688,1.713373333,57.77571429,57.52930066
BlackScholes,1000,1000,BlackScholesGPU,0.900405,1.316464,1572943,1045162,1573078,1048582,0,0,1,2228224,425267618,1.5032,1.534376889,59.86294286,61.21223148
conjugateGradient,500,500,csrMv_kernel,0.923139,1.424815,1071747,153385,1613136,131078,786432,262144,1,1310720,16777210,1.6214,1.619666385,43.96522857,44.10011328
conjugateGradient,500,600,csrMv_kernel,0.922641,1.864706,1048631,153825,1602843,131078,786432,262144,1,1310720,16777210,1.3,1.345536805,46.29502857,45.50156069
conjugateGradient,500,700,csrMv_kernel,0.922272,2.170857,1065720,152932,1608808,131078,786432,262144,1,1310720,16777210,1.1586,1.149374002,47.2822,47.59101267
conjugateGradient,500,800,csrMv_kernel,0.921207,2.494319,1052908,153216,1612510,131078,786432,262144,1,1310720,16777210,1.046,1.01115926,48.12251429,48.83322848
conjugateGradient,500,900,csrMv_kernel,0.918907,2.727333,1048635,154170,1604195,131078,786432,262144,1,1310720,16777210,0.96532,0.902947425,48.59934286,49.92548385
conjugateGradient,500,1000,csrMv_kernel,0.917997,2.964197,1060827,152987,1613306,131078,786432,262144,1,1310720,16777210,0.9033,0.821448458,49.10437143,50.9580298
conjugateGradient,600,500,csrMv_kernel,0.920613,1.187522,1070225,153058,1616653,131078,786432,262144,1,1310720,16777210,1.6026,1.596152443,44.40502857,43.81606991
conjugateGradient,600,600,csrMv_kernel,0.920759,1.552068,1058911,149402,1611329,131078,786432,262144,1,1310720,16777210,1.2769,1.322022863,47.49431429,45.82427201
conjugateGradient,600,700,csrMv_kernel,0.921595,1.833683,1057966,152795,1614304,131078,786432,262144,1,1310720,16777210,1.1115,1.12586006,48.87188571,47.94818613
conjugateGradient,600,800,csrMv_kernel,0.920069,2.108596,1048634,153878,1603410,131078,786432,262144,1,1310720,16777210,0.99556,0.987645318,50.03602857,49.76414259
conjugateGradient,600,900,csrMv_kernel,0.91841,2.355896,1048637,154075,1603816,131078,786432,262144,1,1310720,16777210,0.89776,0.879433483,50.92971429,50.86057736
conjugateGradient,600,1000,csrMv_kernel,0.917722,2.583487,1048631,154025,1603977,131078,786432,262144,1,1310720,16777210,0.83171,0.797934516,51.62114286,51.59508792
conjugateGradient,700,500,csrMv_kernel,0.919656,0.994144,1066325,153041,1619295,131079,786432,262144,1,1310720,16777210,1.5906,1.57935677,45.60694286,44.58997421
conjugateGradient,700,600,csrMv_kernel,0.91996,1.302672,1071147,142308,1617638,131078,786432,262144,1,1310720,16777210,1.2584,1.30522719,48.5972,47.29846732
conjugateGradient,700,700,csrMv_kernel,0.920431,1.567996,1048640,153322,1602288,131078,786432,262144,1,1310720,16777210,1.0833,1.109064387,50.7286,49.76536749
conjugateGradient,700,800,csrMv_kernel,0.919466,1.810528,1048639,153291,1602973,131078,786432,262144,1,1310720,16777210,0.95929,0.970849645,52.62817143,51.64700458
conjugateGradient,700,900,csrMv_kernel,0.917631,2.034161,1048635,153315,1603326,131078,786432,262144,1,1310720,16777210,0.85365,0.86263781,54.0218,53.23215676
