,n_gld,n_gst,gld_trans_per_req,gst_trans_per_req,n_dm_ld,n_dm_st,n_l2_ld,n_l2_st,n_shm_ld,n_shm_st,shld_trans_per_req,shst_trans_per_req,tex_hit_rate,tex_trans,n_flop_sp,n_flop_sp_fma,n_flop_sp_spec,n_flop_dp,n_flop_dp_fma,n_gm,n_dm,n_l2,n_shm,inst_per_warp,real_cycle,c_to_m,act_util,appName
16,0.44714326651474423,0.44714326651474423,,,7.980315060401848e-06,0.0026946660792504986,0.44716273376231286,0.44714335789239756,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0027026463943109003,0.8943060916547104,0.0,1.0,0.659237,0.6015340364333653,0.37116,cachebench-l2-only
17,0.44714326651474423,0.44714326651474423,,,1.1783909881652538e-05,0.003864437108781807,0.44716260050323503,0.44714333885538643,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.00387622101866346,0.8943059393586215,0.0,1.0,0.659724,0.6015340364333653,0.371303,cachebench-l2-only
18,0.0,0.5431910484873601,,,0.00013699973358593335,0.048901731136404,0.00015510293943520216,0.543191108615535,0.0,0.0,,,8.286779941980937e-06,0.5431910484873601,,,,,,0.5431910484873601,0.04903873086998994,0.5433462115549701,0.0,1.0,0.721955,0.6015340364333653,0.249167,cachebench-tex-loads
19,0.0,0.5431910484873601,,,0.0002696609881001717,0.12142004710348706,0.00028733867148185427,0.543191108615535,0.0,0.0,,,8.285122254455036e-06,0.5431910484873601,,,,,,0.5431910484873601,0.12168970809158723,0.5434784472870168,0.0,1.0,0.722896,0.6015340364333653,0.24918099999999999,cachebench-tex-loads
20,0.0,0.5431910484873601,,,0.0005348354893138359,0.12175796282043691,0.0005527120581966728,0.5431911548679771,0.0,0.0,,,8.280149191877333e-06,0.5431910484873601,,,,,,0.5431910484873601,0.12229279830975075,0.5437438669261738,0.0,1.0,0.7182649999999999,0.6015340364333653,0.249394,cachebench-tex-loads
21,0.0,0.5431910484873601,,,0.0013154518308566693,0.048559985717245874,0.48431031133443847,0.5431911178660233,0.0,0.0,,,9.100704517198508e-07,0.5431910484873601,,,,,,0.5431910484873601,0.049875437548102544,1.0275014292004618,0.0,1.0,0.41197700000000004,0.6015340364333653,0.249836,cachebench-tex-loads
22,0.0,0.5431910484873601,,,0.5394194069696879,0.5422217638091291,0.5432170978627672,0.5431916081419099,0.0,0.0,,,0.0,0.5431910484873601,,,,,,0.5431910484873601,1.0816411707788172,1.086408706004677,0.0,1.0,0.140431,0.6015340364333653,0.24984499999999998,cachebench-tex-loads
23,0.0,0.5431910484873601,,,0.5425835411609733,0.5446942158545971,0.5432169036025102,0.5431914832603162,0.0,0.0,,,0.0,0.5431910484873601,,,,,,0.5431910484873601,1.0872777570155705,1.0864083868628263,0.0,1.0,0.138959,0.6015340364333653,0.24982800000000002,cachebench-tex-loads
24,0.0,0.542894065409722,,,6.795391663076974e-06,0.002547296480700866,7.981118167552651e-05,0.5428941255050225,0.0,0.0,,,8.282249246164552e-06,0.542894065409722,,,,,,0.542894065409722,0.002554091872363943,0.542973936686698,0.0,1.0,0.512648,0.6015340364333653,0.248952,cachebench-tex-loads
25,0.0,0.542894065409722,,,6.633596623479903e-06,0.002545202390616938,8.77252704695318e-05,0.5428941255050225,0.0,0.0,,,8.282249246164552e-06,0.542894065409722,,,,,,0.542894065409722,0.002551835987240418,0.542981850775492,0.0,1.0,0.5203720000000001,0.6015340364333653,0.24868,cachebench-tex-loads
