,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,MWP,mem_cycles,compute_cycles,exec_rounds,abe
52,backpropBackward,1900,4000,605.8205,0.475,11719.567754218928,12325.023708067383,5.6323801875,605.8205,107.56029952390355,11692.6190046732,26.948749545727544,151.08555116053327,0.04912412082843722
56,backpropBackward,2000,4000,611.39,0.5,12341.821094761044,12609.07965966797,5.92882125,611.39,103.12167869793679,12314.872156387803,26.948938373242193,151.00071150237596,0.02119572340888547
67,backpropForward,1600,5500,564.8087272727273,0.2909090909090909,17327.472298891433,5564.8078154375,3.3045326280991736,564.8087272727273,170.9193979414921,2492.3222498542023,272.2832588195801,152.07569211147444,2.113759337891737
63,backpropForward,1700,5500,568.8592727272727,0.3090909090909091,17331.082681154425,5591.630084783203,3.5110659173553724,568.8592727272727,162.01896692265822,2647.979588194086,272.2834686279297,152.07980268833725,2.099468744958364
66,backpropForward,1600,5000,571.2896,0.32,17335.10252106077,5577.605351718751,3.6775084800000006,571.2896,155.34691574660891,2773.8184702762596,272.28324623107915,152.06525856811254,2.1079829833638053
71,backpropForward,1800,5500,572.9098181818182,0.32727272727272727,17335.594949213464,5616.051296625002,3.7175992066115704,572.9098181818182,154.10747268369485,2803.851476929988,272.28332595825196,152.07553401680195,2.086794267643422
62,backpropForward,1700,5000,575.7452,0.34,17339.130993120318,5608.9000343906255,3.90735276,575.7452,147.34917356169294,2947.075251254747,272.2833847045899,152.06921049942855,2.0913603178531446
75,backpropForward,1900,5500,576.9603636363636,0.34545454545454546,17340.45200528954,5693.942894554688,3.9241324958677684,576.9603636363636,147.02876731199075,2959.7450237731155,272.28340568542484,152.06826201717953,2.0454207789601835
65,backpropForward,1600,4500,579.2106666666666,0.35555555555555557,17342.912830654044,5570.941872234376,4.14386725925926,579.2106666666666,139.77539106071748,3125.5807597054295,272.2831455230713,152.06620701289546,2.1131024570712675
70,backpropForward,1800,5000,580.2008,0.36,17344.41168010625,5635.0312672499995,4.13719704,580.2008,140.24006939732314,3120.631075857207,272.2832000732422,152.0616229727097,2.0779619238156677
79,backpropForward,2000,5500,581.0109090909091,0.36363636363636365,17344.568538274016,5709.693560156249,4.130665785123967,581.0109090909091,140.65793247745705,3120.080635989834,272.2646656036377,152.05719726510875,2.0377407045640767
61,backpropForward,1700,4500,584.1613333333333,0.37777777777777777,17348.25178067811,5605.002640289063,4.402858962962964,584.1613333333333,132.67773014019375,3320.985857115359,272.2832252502442,152.06272943986417,2.095137129102837
74,backpropForward,1900,5000,584.6564,0.38,17349.227634382816,5717.32480265625,4.36704132,584.6564,133.87929198709756,3294.3114032418866,272.282260131836,152.05782949327917,2.0345009656128723
64,backpropForward,1600,4000,589.112,0.4,17355.603893732055,5589.337426203126,4.743057,589.112,124.20512762127883,3578.1179199128155,272.28317070007324,152.04091920019943,2.105127239655995
69,backpropForward,1800,4500,589.112,0.4,17353.80811206194,5649.039457400392,4.661850666666667,589.112,126.36869821083928,3516.4064009810736,272.28343925476076,152.05735532165846,2.0719927242370364
78,backpropForward,2000,5000,589.112,0.4,17353.571844352347,5763.6935650000005,4.5968856,589.112,128.15459231789453,3476.110204696463,272.25101966857915,152.04139326931758,2.0108422053753556
73,backpropForward,1900,4500,594.0626666666667,0.4222222222222222,17359.589807598997,5714.628873433594,4.92084237037037,594.0626666666667,120.72377490562742,3711.971778671046,272.28335113525395,152.0497689778974,2.0377457910348276
60,backpropForward,1700,4000,594.6815,0.425,17360.088983340527,5587.662671964844,5.039498062500001,594.6815,118.00411323206059,3801.4398045603793,272.28338890075685,152.0508752725482,2.1068605967289056
