,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,MWP,mem_cycles,compute_cycles,exec_rounds,abe
16,convolutionSeparable,810,715,308.8675174825175,1.132867132867133,9150.058997404672,13886.7920226,2.69789931047973,308.8675174825175,114.48444954292822,9150.058997404672,0.0,13.909087115703512,0.3410962746101873
17,convolutionSeparable,1012,715,316.73492307692305,1.4153846153846155,11411.206059165332,13915.566579444443,3.370708768154922,316.73492307692305,93.96686123384644,11411.206059165332,0.0,13.933978102366357,0.1799682755266652
18,convolutionSeparable,1202,715,324.13495804195804,1.681118881118881,13526.330646106542,13897.343533556388,4.003549347156341,324.13495804195804,80.96189903895805,13526.330646106542,0.0,13.960568761327208,0.026696676710480812
19,convolutionSeparable,1328,715,329.04234965034965,1.8573426573426572,14793.45461470798,14026.954033493335,4.423222573230965,329.04234965034965,74.38973377502887,14793.45461470798,0.0,14.09898111363152,0.05464483446544466
20,convolutionTexture,607,715,300.9611643356643,0.848951048951049,5947.863022857538,8199.060608255417,2.0217591129150567,300.9611643356643,148.8610400779774,1364.650142687556,99.69936523437501,46.48968195407756,0.27456774537453804
21,convolutionTexture,810,715,308.8675174825175,1.132867132867133,5942.658690282517,8374.598467199998,2.69789931047973,308.8675174825175,114.48444954292822,1795.9676747928636,99.84300944010417,46.6650074664012,0.29039479163597287
22,convolutionTexture,1012,715,316.73492307692305,1.4153846153846155,5952.649231670673,8823.739697743056,3.370708768154922,316.73492307692305,93.96686123384644,2242.211459304113,99.85673828124999,46.65384225979549,0.3253824981721473
23,convolutionTexture,1202,715,324.13495804195804,1.681118881118881,5962.721151531021,9109.555000201251,4.003549347156341,324.13495804195804,80.96189903895805,2661.1788367883455,99.87191569010416,46.63882264178809,0.3454432020664796
24,convolutionTexture,1328,715,329.04234965034965,1.8573426573426572,5970.998086223267,9440.40398007778,4.423222573230965,329.04234965034965,74.38973377502887,2940.115246134778,99.87940266927083,46.61446278450198,0.36750608355066683
25,fastWalshTransform,607,715,300.9611643356643,0.848951048951049,15754.160333859883,12809.52009704008,2.0217591129150567,300.9611643356643,148.8610400779774,3967.612285551593,251.99754638671874,19.08401783580379,0.22987904421963684
26,fastWalshTransform,810,715,308.8675174825175,1.132867132867133,15744.298290306735,13086.512450353122,2.69789931047973,308.8675174825175,114.48444954292822,5288.407979842359,251.99761962890625,19.105991833084087,0.20309351708765583
27,fastWalshTransform,1012,715,316.73492307692305,1.4153846153846155,15741.589190221064,13295.831152137187,3.370708768154922,316.73492307692305,93.96686123384644,6602.707293257733,251.99767456054687,19.119096586837966,0.1839492401865184
28,fastWalshTransform,1202,715,324.13495804195804,1.681118881118881,15765.453517251332,13582.26005411625,4.003549347156341,324.13495804195804,80.96189903895805,7850.7254615730935,251.9976379394531,19.098708091764518,0.16073859979388638
29,fastWalshTransform,1328,715,329.04234965034965,1.8573426573426572,15789.463022140973,14040.161943289999,4.423222573230965,329.04234965034965,74.38973377502887,8684.381430700027,251.99774780273435,19.075119010859705,0.12459265683092718
30,histogram,607,715,300.9611643356643,0.848951048951049,76030.96967330149,205035.14891611735,2.0217591129150567,300.9611643356643,148.8610400779774,74511.52238163482,1519.4472916666673,1.0199108353151334,0.6291808010712994
