,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,g_load,g_store,sync,compute,shared,exec_rounds,abe
795,SobolQRNG,500,800,,0.625,602136.373737973,2462473.7894144,5.732247372546444,416.278031990785,738.4332004515813,36237.71094574974,350.98303029015386,7507.21995,97638.19219200002,2.008691431057339,0.755475012027979
786,SobolQRNG,400,600,,0.6666666666666666,605777.7819488854,2561042.3746559997,6.328984003921583,425.21864354278193,890.8799706153163,39975.19474415685,387.54728501248513,7502.0323499999995,97644.719232,2.0085571605159185,0.7634643659380085
803,SobolQRNG,600,900,,0.6666666666666666,604812.359627077,2424867.05507328,6.043520204953885,425.69467346678636,433.1856167608267,38191.67358654433,370.0289806486319,7523.7396,97634.77804800001,2.008761672030221,0.7505791674798438
811,SobolQRNG,700,1000,,0.7,606282.2166476431,2436723.3419827195,6.283234177917015,433.12107010791766,440.17400047262953,39697.07029761387,384.66502508640934,7523.774849999999,97624.535616,2.008972424426636,0.7511895559902497
794,SobolQRNG,500,700,,0.7142857142857143,608351.7360284363,2622904.109056,6.653866090659523,436.1555512820106,794.7822989033323,42016.44754112222,407.61817887466634,7507.9305,97686.49228800001,2.0076982539385577,0.7680617701851914
802,SobolQRNG,600,800,,0.75,610397.7913793185,2635501.7156198393,6.882811663571257,444.2518418766464,452.0190948389865,43454.96257596842,421.6055822646845,7523.77305,97677.856512,2.007875756117821,0.7683940830841918
810,SobolQRNG,700,900,,0.7777777777777778,611558.8026963595,2702802.8427008,7.050887108304147,450.43913133842693,458.08581840738276,44511.820469922,431.9691578573447,7523.7706499999995,97693.019328,2.0075641161372952,0.7737316266527033
785,SobolQRNG,400,500,,0.8,616658.5413931911,2834939.1605760003,7.8153182354085,455.07582623570545,1025.9457467411194,49293.03464823548,479.7029828384561,7502.197649999999,97873.96896,2.0038525267137586,0.7824790916261148
818,SobolQRNG,800,1000,,0.8,612860.6497369105,2758974.80208384,7.180034743384432,455.3571168670725,463.5172263529289,45323.46243860645,440.25767339760176,7523.7687,97775.260032,2.0058755142743876,0.7778665288011982
793,SobolQRNG,500,600,,0.8333333333333334,617196.1655747833,3089620.2321920004,7.931597222222222,462.97,877.7013213541667,50027.54880225694,486.4523450666666,7508.424899999999,97797.25113599999,2.005424464612633,0.8002355891044577
801,SobolQRNG,600,700,,0.8571428571428571,618202.0677231087,3120219.493171199,7.98618563311416,468.0018522100738,926.333038787312,50373.91545910945,490.41875405355745,7506.88635,97918.754496,2.002936015776342,0.8018722499887961
809,SobolQRNG,700,800,,0.875,619160.0757477194,3083187.9558143998,8.030230440749271,472.0943330859225,480.76698196193166,50653.03246313466,493.1825770100644,7523.78745,97930.302336,2.002699831632224,0.7991818583164603
817,SobolQRNG,800,900,,0.8888888888888888,619040.4337795393,3090276.6085734395,8.057862652648552,475.1686761286241,484.48759428641216,50828.77656611738,494.61455841240286,7523.764649999999,97878.688512,2.0037559041869972,0.7996812220426746
825,SobolQRNG,900,1000,,0.9,619044.2302441961,3100369.6072396804,8.07810475658737,477.64133296866675,487.7874325429405,50957.96433907822,495.7438536854112,7523.726549999999,97856.69740799999,2.0042062035088297,0.8003321188549054
784,SobolQRNG,400,400,,1.0,631077.7581458065,3639418.3020543996,10.180433344350334,499.84753822613226,1461.3945578166936,64117.83362657186,624.2172612387118,7495.763849999999,97772.85004800001,2.0059249567105346,0.8265992788491578
792,SobolQRNG,500,500,,1.0,628478.362959388,3546379.89888,9.785963207116449,500.0906060029051,1179.7502156451603,61652.61383112643,599.710756302842,7503.275549999999,97721.637888,2.0069761849958074,0.8227831250797834
800,SobolQRNG,600,600,,1.0,627113.767780564,3712920.6890495997,9.517916666666666,500.1,971.308259375,59977.84202854166,583.4546877066666,7509.251399999999,97749.754368,2.006398903690798,0.831099605862821
808,SobolQRNG,700,700,,1.0,626066.0506660567,3554278.174720001,9.320887373975992,499.92112461835933,511.83321868230064,58746.17428725646,571.1243245980554,7523.7282,97707.27840000001,2.0072711389738185,0.8238556410359251
816,SobolQRNG,800,800,,1.0,625375.0385888566,3510445.6924364804,9.176521696764755,499.8972389350156,511.42295018615215,57844.19697027785,562.5005182517731,7523.728649999999,97745.235648,2.0064916586449804,0.8218530940568959
824,SobolQRNG,900,900,,1.0,624198.0256088828,3472320.294789119,9.065103208008276,499.9079110707198,510.27838914068127,57148.077799284736,555.1979751196943,7523.75805,97663.396608,2.008173039354794,0.8202360460394131
832,SobolQRNG,1000,1000,,1.0,623348.8603575015,3482017.3220352,8.965028436495274,499.5354686169094,889.1690520096488,56522.02506336118,549.2598951771635,7511.073149999999,97696.835136,2.0074857054169866,0.8209805400987605
831,SobolQRNG,1000,900,,1.1111111111111112,631356.1494221963,3850550.254387201,10.073100125599783,524.6721677558414,536.0648439978947,63471.505071929256,617.7592164323353,7523.7723000000005,97792.029504,2.0055315447970927,0.8360348241909457
823,SobolQRNG,900,800,,1.125,633060.8195506462,3951541.3929523197,10.324012762763157,527.741388,539.7585388558564,65042.7397568069,633.2779161835678,7523.756249999999,97811.911872,2.0051238775156124,0.8397939546629255
815,SobolQRNG,800,700,,1.1428571428571428,635582.521986424,4067587.6691968,10.651525048304832,531.6998707133832,544.2686702703829,67093.40476908426,653.8904761638034,7523.749349999999,97888.93094399999,2.00354624479655,0.8437446040070408
807,SobolQRNG,700,600,,1.1666666666666667,637609.3748001326,4320298.5111552,11.101678836560204,537.150218644159,1191.7995671178594,69912.16296232372,681.0547803998895,7506.40515,97822.455552,2.0049077575623198,0.8524154353793384
799,SobolQRNG,600,500,,1.2,641834.5606727448,4259802.5266176015,11.740224728310679,544.5572745614106,1343.4913075476807,73909.73230155051,720.4943982353003,7503.68415,97858.10323200001,2.00417741119538,0.8493276257145238
791,SobolQRNG,500,400,,1.25,647706.2456202517,4558947.319295999,12.73596875,555.7950000000001,1693.12974534375,80142.9401345625,781.0763821119999,7497.3204,97793.234496,2.0055068329703527,0.8579263588155979
830,SobolQRNG,1000,800,,1.25,640332.5628286372,4379454.715187201,11.471957961145058,555.599038007791,568.8147335790302,72244.4723509752,703.656494995055,7523.750999999999,97806.891072,2.005226808156326,0.8537871482931259
822,SobolQRNG,900,700,,1.2857142857142858,643322.803630955,4562943.5077631995,11.984199264731787,563.5435830238731,578.7575239904501,75453.00252762067,734.7361088928352,7523.726699999999,97762.40678399999,2.006139235435622,0.859011446769737
814,SobolQRNG,800,600,,1.3333333333333333,647721.0993625813,4830488.5506048,12.68300065199777,574.1322909056827,590.4236052431738,79830.6789777642,777.5324710747806,7523.715899999999,97756.683072,2.006256696082349,0.8659098158339525
806,SobolQRNG,700,500,,1.4,654825.80619576,4976923.836416,13.700764000000001,589.212,1468.76679689,86206.04662840201,841.3812350056961,7504.8366,97923.273216,2.002843589259785,0.868427601522768
829,SobolQRNG,1000,700,,1.4285714285714286,652562.3689059305,5087808.061951999,13.315856216187697,595.3543927865572,612.2588722530076,83806.26638837752,817.5057935497474,7523.728799999999,97895.25715199999,2.0034167712076254,0.8717399789929247
798,SobolQRNG,600,400,,1.5,664515.7847270303,5479248.384000001,15.277552164396281,611.3370107993036,2036.6409624244902,96080.82159632033,937.6994857254492,7496.1231,97870.4544,2.00392448571282,0.8787213613700213
