,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
88,sortingNetworks,1202,715,,1.681118881118881,1811.0892375967637,7298.0763273425,384.224118766517,384.1933297517623,209.82160136598455,15.593847656249999,0.0,5.477953121731417,0.7518401896111372
89,sortingNetworks,1328,715,,1.8573426573426572,1859.8505397158226,8074.286357907001,395.43010417262343,395.39635766251274,232.77870505724906,15.593884277343749,0.0,5.455725255131877,0.7696575948294793
90,transpose,607,715,,0.848951048951049,1745.0729053804346,1442.678748561914,307.0265920661892,307.0264619194567,106.68974875138046,10.049949359893798,483.93676800000003,696.459347586265,0.20960602429331684
91,transpose,810,715,,1.132867132867133,1809.8919023206095,1528.7226572922366,316.9613659296176,316.96124242958814,143.51995537083985,10.049960517883301,487.772352,690.9827593391061,0.18392430025626516
92,transpose,1012,715,,1.4153846153846155,1879.2801826647315,1657.2161652320315,326.84727279319526,326.8470831342508,181.38986550330114,10.049954223632811,493.32211200000006,683.2093626370547,0.13399822068571735
93,transpose,1202,715,,1.681118881118881,1962.409116746493,1862.4949315704105,336.14587144013905,336.14564617329,220.7379032147045,10.049954223632811,505.21996800000005,667.1198825504175,0.053645346079861475
94,transpose,1328,715,,1.8573426573426572,2015.3195751687354,2036.9596448414065,342.31228312380966,342.31206166233704,247.16288332227384,10.049957942962646,511.906176,658.4063672525133,0.010623710551887757
95,vectorAdd,607,715,,0.848951048951049,995.8629298628757,1368.7957690146252,315.1194012484708,307.0277990566264,100.36258082418472,5.39783935546875,0.0,11.554676276787214,0.27245323779764313
96,vectorAdd,810,715,,1.132867132867133,1064.9447393703429,1831.4564924053122,327.76121065787964,316.96310908107523,138.24156932787247,5.3977111816406245,0.0,11.200954041260465,0.41852577782412087
97,vectorAdd,1012,715,,1.4153846153846155,1132.1458170385747,2317.0602356824993,340.3397595773517,326.84931243048754,176.65857688229798,5.39783935546875,0.0,10.955696191697296,0.5113869723351855
98,vectorAdd,1202,715,,1.681118881118881,1194.8044940342343,2777.1636819163127,352.1715326205304,336.14841619191657,213.38648981827168,5.397821044921875,0.0,10.776244913065169,0.5697752704263405
99,vectorAdd,1328,715,,1.8573426573426572,1235.697065129567,3083.1860276507505,360.01813629492983,342.31512204897274,237.78734998449232,5.397784423828125,0.0,10.685813864142233,0.599214236816222
