,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
164,nn,600,700,468.2742857142857,0.8571428571428571,1386.4192334674121,2232.056868571429,254.52021885165018,208.28820038682778,1386.4192334674121,1.4836388851646483,239.03018897570917,45.9136,24.99017817142857,1.248023166706302,29.70810243865403,161.11076041875415,14.939386810981823,161.11076041875415,2.1887911416581853,2.1887911416581853,0.0,1.829523278505715,0.3788602553147517
172,nn,700,800,472.2525,0.875,1333.351523777286,2148.8523024,274.3639861737595,229.87933791815425,1333.351523777286,1.2887669527680263,232.2726331773097,44.071488,24.983928171428573,1.247386584286192,25.812736310686386,180.22857637560637,14.517039573581856,180.22857637560637,2.033173652020247,2.033173652020247,0.0,1.9059941883514346,0.37950527251775346
180,nn,800,900,475.3466666666667,0.8888888888888888,1330.622410733321,2226.478857142857,273.5747975078443,228.93720590629124,1330.622410733321,1.2996572703989702,232.7488397228523,43.9024,25.00714245714286,1.2497527037667795,26.005716497648443,179.08478259918695,14.546802482678268,179.08478259918695,2.0399315532439157,2.0399315532439157,0.0,1.913335034075586,0.4023646770933857
188,nn,900,1000,477.822,0.9,1296.3466741292611,2173.0515236571423,273.7815201512448,229.01531344726635,1296.3466741292611,1.2943950054971585,232.63272361921034,42.582015999999996,24.980356742857147,1.2470229715262047,25.929313045386902,179.72313137121498,14.539545226200646,179.72313137121498,2.0379881005022513,2.0379881005022513,0.0,1.9726637649095808,0.40344411532977764
147,nn,400,400,500.1,1.0,1411.4919227332396,2195.700050895238,267.3166789525668,222.86724148918353,1411.4919227332396,1.3340442155588563,232.10991088005943,47.224191999999995,24.974106742857142,1.2463869091125137,26.73051393229167,173.98966853795338,14.506869430003714,173.98966853795338,2.070329129586862,2.070329129586862,0.0,1.7787493325454888,0.3571563100534877
155,nn,500,500,500.1,1.0,1410.6145204470579,2234.5673920000004,244.87373603376835,198.02790551241247,1410.6145204470579,1.5772971158269644,240.2724308080433,46.902464,24.952678171428573,1.24420863183201,31.63278754464286,152.33175056055964,15.017026925502707,152.33175056055964,2.267711118114094,2.267711118114094,0.0,1.7909506843819547,0.3687303746142476
163,nn,600,600,500.1,1.0,1373.4234063663155,2239.8707881142855,245.0373693761401,198.21619708006082,1373.4234063663155,1.5479838798820929,239.89103168754608,45.731648,24.786606742857142,1.227457607310243,31.259138764880955,154.96998050510587,14.99318948047163,154.96998050510587,2.261130217991175,2.261130217991175,0.0,1.8368023824551436,0.3868291806588626
171,nn,700,700,500.1,1.0,1343.7395813779076,2188.934768,269.56912145531203,224.74766997478375,1343.7395813779076,1.325833719658519,232.8829827560577,44.445376,24.993749600000005,1.2483870767950056,26.544295928996597,175.65021865339108,14.555186422253605,175.65021865339108,2.062037363493335,2.062037363493335,0.0,1.8899603864303003,0.38612168757972437
179,nn,800,800,500.1,1.0,1321.385180799241,2215.9499172571427,270.6935119240229,225.81576030255445,1321.385180799241,1.3181267441644366,232.81224353256022,43.547584,24.99732102857143,1.2487510950936664,26.3860728608631,176.62356413240093,14.550765220785014,176.62356413240093,2.0555560266119857,2.0555560266119857,0.0,1.9289244611136176,0.40369357154297764
187,nn,900,900,500.1,1.0,1297.541444432797,2165.2460845714286,268.93307010329073,223.79619500205527,1297.541444432797,1.3291770227417992,233.34280571534606,42.634944,24.960713885714288,1.2450250310781221,26.64782356977513,175.55434808375733,14.583925357209129,175.55434808375733,2.067590602247415,2.067590602247415,0.0,1.9702148547445026,0.4007418123609622
195,nn,1000,1000,500.1,1.0,1276.7705366262614,2096.2467146666663,270.62609341410524,225.4254448133571,1276.7705366262614,1.321955405807339,233.21829572071235,41.736128,25.003571028571432,1.2493883876417446,26.45582927827381,176.41918531910102,14.576143482544522,176.41918531910102,2.0580820334840526,2.0580820334840526,0.0,2.0126447762475714,0.3909254441792714
194,nn,1000,900,524.8533333333334,1.1111111111111112,1268.9061808545289,2070.6468754285715,267.6407263328261,222.19665533767184,1268.9061808545289,1.3409254402980353,233.37303023549512,41.452416,24.9812496,1.2471138645865836,26.86041272597002,174.03878189053182,14.585814389718445,174.03878189053182,2.075222943449955,2.075222943449955,0.0,2.0264198834634874,0.3871933472036861
186,nn,900,800,527.9475,1.125,1313.6148695265342,2245.6852457142854,265.07277883966094,219.66143338827084,1313.6148695265342,1.3632435366284037,233.91102864148002,43.215936,24.983928171428573,1.247386584286192,27.30442913876488,171.58418313135203,14.619439290092501,171.58418313135203,2.092879748589336,2.092879748589336,0.0,1.9437274249943355,0.4150494277711156
178,nn,800,700,531.9257142857143,1.1428571428571428,1325.023790443105,2225.9683943619043,264.8095494731048,219.418318393605,1325.023790443105,1.3678221125245813,233.80274206659124,43.630144,25.010713885714285,1.2501171282829409,27.36560177356657,170.930664101535,14.612671379161952,170.930664101535,2.0941551648070855,2.0941551648070855,0.0,1.9252744157800625,0.40474276553107297
170,nn,700,600,537.23,1.1666666666666667,1335.0823427099592,2234.7629279999996,265.7766476341528,220.75164592285395,1335.0823427099592,1.344249758512312,232.73983725068584,44.20896,24.93482102857143,1.242396361770594,26.979012638475528,173.13734726518393,14.546239828167865,173.13734726518393,2.081981402936952,2.081981402936952,0.0,1.9000673166706479,0.402584352021272
162,nn,600,500,544.656,1.2,1374.6655241921017,2242.616077714286,266.240182363921,221.45864273852044,1374.6655241921017,1.3439903181041528,232.33093648317362,45.72768,24.9812496,1.2471138645865836,26.92180605952381,172.86652541582453,14.520683530198351,172.86652541582453,2.077680520013851,2.077680520013851,0.0,1.836961770201331,0.3870259212654958
154,nn,500,400,555.7950000000001,1.25,1413.8588112216441,2284.0425462857143,229.79685632479598,181.2429951214318,1413.8588112216441,1.7910566821870242,244.49927303450067,46.817856,24.976785314285717,1.24665946679541,35.88376732235863,136.51118664538714,15.281204564656292,136.51118664538714,2.43668478032017,2.43668478032017,0.0,1.7941872434312243,0.38098403047664486
193,nn,1000,800,555.7950000000001,1.25,1268.3231394226382,2165.298822095238,263.5128033884945,217.69270043483067,1268.3231394226382,1.3748298413122213,233.94073495542347,41.403392,24.98303531428572,1.247295670965825,27.537514381045387,170.15977390491915,14.621295934713967,170.15977390491915,2.1022485472491397,2.1022485472491397,0.0,2.0288192812801427,0.4142502981665352
185,nn,900,700,563.7514285714285,1.2857142857142858,1299.4233253455784,2234.2245702857144,259.46895829755795,213.43842564923003,1299.4233253455784,1.4128932592849863,234.83853649991508,42.600128000000005,24.99017817142857,1.248023166706302,28.29150550139699,166.2110955350996,14.677408531244692,166.2110955350996,2.1321049937028,2.1321049937028,0.0,1.9718250611829145,0.41840075405696253
177,nn,800,600,574.36,1.3333333333333333,1319.3166285404257,2264.6681856,258.42599567421445,212.4494857874672,1319.3166285404257,1.4215396784093115,234.7054458942047,43.384448,24.999999600000002,1.249024179859485,28.453005125661374,165.10650350388934,14.669090368387794,165.10650350388934,2.138120223236378,2.138120223236378,0.0,1.9361776828415564,0.4174349085974877
169,nn,700,500,589.212,1.4,1339.1601880116627,2266.0669696,261.0647167654456,215.6305512771607,1339.1601880116627,1.3861718783783785,233.16522972972973,44.295168,24.968749600000002,1.245841975883576,27.78119472916667,168.20802193916924,14.572826858108108,168.20802193916924,2.112638605225416,2.112638605225416,0.0,1.896369373742978,0.409037682479416
