,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
113,cfd,1900,4500,,0.4222222222222222,8392.111102903888,22398.01716136414,2584.84385295294,687.5694986396121,108.2704996367929,217.86510451045103,0.0,11.290731593697817,0.6253190163020319
100,cfd,1700,4000,,0.425,8443.110178432653,22401.161006292627,2633.4585354040587,690.4409721911871,110.81090235732002,217.86563393839384,0.0,11.297584081865601,0.623094973690831
117,cfd,2000,4500,,0.4444444444444444,8523.23424384942,23050.33118134213,2694.5753259862286,697.4394406201361,114.10420281344001,217.86506669416943,0.0,11.277929065523454,0.6302337620750339
108,cfd,1800,4000,,0.45,8584.52732293655,22906.2415879604,2758.9604989002173,701.645583615099,117.28616171817603,217.8652935918592,0.0,11.301548488690791,0.6252319574133626
112,cfd,1900,4000,,0.475,8729.960560771899,23728.404190486242,2884.461402513588,712.8457924489738,123.85793280286799,217.86525577557754,0.0,11.296672032730871,0.6320881720199236
116,cfd,2000,4000,,0.5,8871.647343894447,24378.67927375138,3009.955294594678,724.050648461221,130.33617080352002,217.8653314081408,0.0,11.300037910446216,0.63608991101308
127,conjugateGradient,1600,5500,,0.2909090909090909,2899.8560987023575,2674.3361883984367,601.9513139911545,564.80876824155,187.3197319785108,19.596526551246644,415.33701119999995,649.192875425181,0.08432743470407755
123,conjugateGradient,1700,5500,,0.3090909090909091,2922.4786722896833,2789.664458129883,608.3287424230786,568.8593832249145,199.0865381969074,19.59609277248383,415.45866240000004,649.0027840888474,0.04760938677508033
126,conjugateGradient,1600,5000,,0.32,2945.850953298518,2828.626635351563,612.6236546512347,571.28964559289,209.39086043627523,19.596581888198855,417.155328,646.3631421517612,0.041442131839498006
131,conjugateGradient,1800,5500,,0.32727272727272727,2938.2558830121015,2894.7345897216796,614.7004860369308,572.9098642717437,210.022822838949,19.596137619018556,413.9582976,651.3550522714021,0.01503464028963234
122,conjugateGradient,1700,5000,,0.34,2970.854777399179,2962.4595324707034,619.6626330669369,575.7453043375751,222.53155438752,19.5965779542923,417.2544,646.2096710578213,0.002833876661084382
135,conjugateGradient,1900,5500,,0.34545454545454546,2966.707771078162,3028.498901538086,621.0724620700653,576.9604122868404,222.5032098330573,19.596156764030457,415.4489856,649.0179009151216,0.02040322036390449
125,conjugateGradient,1600,4500,,0.35555555555555557,2990.362108747759,2998.8188737500004,625.7709737053358,579.2107180413637,235.5199113209932,19.597608900070192,416.4175872,647.5082630021745,0.0028200319386633157
130,conjugateGradient,1800,5000,,0.36,2988.3290681730928,3082.3543313964847,626.6950658341698,580.2008512920012,234.66817084345345,19.597016978263856,415.59505920000004,648.7897837150913,0.030504365531782658
139,conjugateGradient,2000,5500,,0.36363636363636365,2985.751534913036,3143.0854430664062,627.4621519978874,581.0109603019374,233.80784411808793,19.59499468803406,414.74119679999995,650.1255015219857,0.05005715275747479
121,conjugateGradient,1700,4500,,0.37777777777777777,3025.010431653291,3157.2037303173834,633.6398767965218,584.1614299078841,251.24727990928125,19.59709303379059,418.0649472,644.9567952953424,0.04187037326565026
134,conjugateGradient,1900,5000,,0.38,3013.13076975047,3231.4943733789064,633.7256926407255,584.6564541415569,247.7402277764275,19.597519993782043,415.65265919999996,648.6998762148869,0.06757356764329184
124,conjugateGradient,1600,4000,,0.4,3064.697625804646,3365.6965770312495,642.3969688744917,589.1121040366278,271.63950361363203,19.598058938980103,419.55102719999996,642.6723118065306,0.08943139832649527
129,conjugateGradient,1800,4500,,0.4,3052.538903591297,3315.6965144091796,641.4919986392974,589.1121022554066,266.0140006140587,19.597626733779908,418.0455936,644.9866538467171,0.07936721882544615
138,conjugateGradient,2000,5000,,0.4,3044.4595297519027,3389.8215421874997,640.8827572991554,589.1150468325538,261.8183039291904,19.59022994041443,417.2802048,646.1697091542181,0.10188206315212986
133,conjugateGradient,1900,4500,,0.4222222222222222,3073.2111379837893,3468.875510009765,649.3579353357143,594.0627276741195,279.7211510361126,19.597334837913515,416.47795199999996,647.4144123995034,0.11406127746131252
120,conjugateGradient,1700,4000,,0.425,3089.4745991260893,3531.7548061523435,651.2782761756488,594.6816585993157,287.554888293816,19.599066019058228,418.0336128,645.0051390973424,0.12522959019006605
137,conjugateGradient,2000,4500,,0.4444444444444444,3109.3388455174595,3645.4376300781255,657.2166711767521,599.0133975517047,295.8346617510874,19.59745206832886,418.4119296,644.4219428188803,0.147060199339956
128,conjugateGradient,1800,4000,,0.45,3120.6716866524102,3709.539519697265,660.173492156189,600.2510661537252,304.43778071308805,19.59925196170807,417.99029759999996,645.0719792291864,0.15874418641937318
132,conjugateGradient,1900,4000,,0.475,3160.5199153266617,3920.309266357422,669.0964596244785,605.8205698289322,322.82928778623597,19.598058676719667,419.8800384,642.1687241882194,0.1938085236159756
136,conjugateGradient,2000,4000,,0.5,3186.912775978181,4097.643257421873,677.989329974854,611.390101774962,338.90014987488,19.59837942123413,418.7625984,643.8823085004256,0.22225714251579323
147,convolutionSeparable,1600,5500,,0.2909090909090909,16929.06185814493,17332.265049400005,693.3625494729339,667.2709247391736,199.67921273282224,0.0,15368.749171200001,238.15006222414593,0.023263156321800628
143,convolutionSeparable,1700,5500,,0.3090909090909091,16956.08399449811,17336.61846455,705.4457544130656,677.7025218918078,212.04883179323664,0.0,15360.8868864,238.27195646294814,0.021949751667547483
146,convolutionSeparable,1600,5000,,0.32,16973.015005292804,17331.4980272,714.351961266964,685.2940328423468,221.96170238349313,0.0,15351.407308799999,238.41909069343004,0.02068390287698117
151,convolutionSeparable,1800,5500,,0.32727272727272727,16998.88758328124,17358.837842587498,717.531788092828,688.1625183801782,224.63625920823432,0.0,15368.557017600002,238.1530398226117,0.020735850093787332
142,convolutionSeparable,1700,5000,,0.34,16547.053921198312,16823.22834696875,727.7481479941362,696.8732595726608,228.68704163151358,0.0,14893.745472,245.74534178185343,0.016416256147423657
155,convolutionSeparable,1900,5500,,0.34545454545454546,17020.188132998468,17595.308462549998,729.6169736549327,698.6085955534852,236.90433659005248,0.0,15355.058227200001,238.3624026215097,0.0326860043843858
145,convolutionSeparable,1600,4500,,0.35555555555555557,16979.276067642142,17292.129750000004,740.416086826574,707.6804358792708,248.9635449362963,0.0,15282.216,239.49854991112358,0.018092258552354516
150,convolutionSeparable,1800,5000,,0.36,15355.72137660089,15858.518019750001,741.1469361814695,708.4772405768222,222.13478064259584,0.0,13683.962419200001,267.4713989489711,0.03170514688213203
159,convolutionSeparable,2000,5500,,0.36363636363636365,16920.842311843862,17676.185625000002,741.9941083415806,709.0616795299845,247.1861783722949,0.0,15222.600345600002,240.43648840104322,0.04273225735352276
141,convolutionSeparable,1700,4500,,0.37777777777777777,15607.303683540962,16715.999638800004,755.4400606605983,720.6505738877265,240.04499779263531,0.0,13891.168051200002,263.4816998785349,0.06632543546397394
154,convolutionSeparable,1900,5000,,0.38,16703.566044038267,18404.618736000004,754.5413440845019,720.0348195223856,256.95782923137796,0.0,14972.032051200002,244.46037511222258,0.09242531542554723
144,convolutionSeparable,1600,4000,,0.4,15781.71043644073,18123.709296,773.625787372417,736.1470449134961,260.86570655481603,0.0,14011.0718976,261.2268781559472,0.12922293230978732
149,convolutionSeparable,1800,4500,,0.4,15750.981796115298,17888.933687624998,770.4656620450261,733.6295186257943,256.02287144447996,0.0,13990.863743999998,261.6041895910963,0.11951253936329741
158,convolutionSeparable,2000,5000,,0.4,15730.07172097323,18240.71974725,768.1176768775566,731.615599497248,252.2208893984256,0.0,13978.1175552,261.84273790622035,0.13763974563861606
