,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
74,convolutionTexture,1900,5000,584.6564,0.38,5299.148501823853,4492.69654398907,8309.233043421009,3499.616802046695,5299.148501823853,3.3125643973393353,463.9087475332506,52.987519999999996,91.25242612393639,7.6140761700789445,5559.807620375683,350.1130030150236,16.56816955475895,350.1130030150236,61.92777865242195,52.987519999999996,0.0,2210.3317913350165,0.17950287760115066
64,convolutionTexture,1600,4000,589.112,0.4,5301.6908801557065,4520.356299191258,8172.823994736182,3391.460560023049,5301.6908801557065,3.5631377882251987,466.8552873157075,52.983104000000004,91.25240365003904,7.614061314857973,5595.130556823281,327.5591031439234,16.673403118418126,327.5591031439234,62.31488413479054,52.983104000000004,0.0,2210.516016577662,0.1728480078227989
69,convolutionTexture,1800,4500,589.112,0.4,5301.195850823113,4487.408985245902,8211.353630528223,3416.120807769421,5301.195850823113,3.509014491646868,466.85947248373463,52.9776,91.25246100879197,7.614099229029738,5595.156370826015,332.6143804728388,16.67355258870481,332.6143804728388,62.315128479515025,52.9776,0.0,2210.7456736432,0.18134894061424997
78,convolutionTexture,2000,5000,589.112,0.4,5303.653005693008,4656.312177049181,8246.144474379238,3435.0345295195307,5303.653005693008,3.4657465461532713,466.86628164675886,53.013248,91.23732098146957,7.604103097850696,5601.66376572014,336.771800411189,16.67379577309853,336.771800411189,62.39662701032011,53.013248,0.0,2209.2590893506467,0.1390243617759458
73,convolutionTexture,1900,4500,594.0626666666667,0.4222222222222222,5304.451435517995,4644.131124131147,8149.341701295617,3358.154511464618,5304.451435517995,3.6817927140605513,470.1648840220447,52.977408,91.2518511946819,7.6136961584104865,5635.031283242259,319.2499690616153,16.791603000787312,319.2499690616153,62.75251471030611,52.977408,0.0,2210.7536857975383,0.14218382163151894
60,convolutionTexture,1700,4000,594.6815,0.425,5305.340592158088,4667.073379622951,8104.983046183939,3329.3630877093506,5305.340592158088,3.760841984167711,470.56854109236804,52.982336,91.2525270887588,7.614142908338357,5639.580063059257,312.8079716412937,16.80601932472743,312.8079716412937,62.80190557981802,52.982336,0.0,2210.5480588851347,0.1367596265620967
77,convolutionTexture,2000,4500,599.0133333333333,0.4444444444444444,5308.452031907498,4759.128777377049,8096.029489275335,3309.613259603423,5308.452031907498,3.85443608797926,473.4571660584078,52.984768,91.25254386032397,7.614153994526968,5674.191885636221,307.0858844533494,16.909184502085992,307.0858844533494,63.18119129173476,52.984768,0.0,2210.4465947647445,0.11542517133423812
68,convolutionTexture,1800,4000,600.251,0.45,5309.953691929894,4796.080415311474,8048.494884709431,3278.6818175021026,5309.953691929894,3.95866210861086,474.29256759047826,52.992064,91.25255291696917,7.6141599810805465,5684.199928779701,299.52832205532246,16.93902027108851,299.52832205532246,63.29085923713019,52.992064,0.0,2210.142258282297,0.10714442463847795
72,convolutionTexture,1900,4000,605.8205,0.475,5313.004854730205,4976.588520836065,8001.602332309962,3237.2471995200112,5313.004854730205,4.156364359511346,478.00539634435967,52.985023999999996,91.2521896448673,7.613919860216564,5728.85450323676,287.5141319423194,17.071621298012847,287.5141319423194,63.78046067203597,52.985023999999996,0.0,2210.4359148728518,0.06759978898910896
76,convolutionTexture,2000,4000,611.39,0.5,5314.348549227527,5121.616186448086,7962.8630284906685,3203.7871773496317,5314.348549227527,4.354082710616014,481.71974869779007,52.958847999999996,91.25252876591532,7.614144016955949,5773.222193757318,276.5908348061884,17.204276739206787,276.5908348061884,64.26643515345225,52.958847999999996,0.0,2211.528468292966,0.03763116089983755
