,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
133,convolutionTexture,1300,3600,125.93725,0.3611111111111111,2577.8671458414783,3984.7160572916673,159.64927893170022,2.4287028551814336,2451.9298958414784,478.1948252289589,28.0,904.2096,0.0,53.1888,0.0,0.0,1107.9184735514323,27.71653204580317,332.0754665798611,1135.9184735514323,332.0754665798611,83.01886664496527,346.5391210179587,0.3530612699180369
139,convolutionTexture,1500,3900,127.78038461538462,0.38461538461538464,2652.134146409826,4041.7837242708333,160.86537314980916,2.5598646804231153,2524.353761794441,482.1441983283655,28.0,899.8608640000001,0.0,52.932992000000006,0.0,0.0,1102.5082893218316,27.696348316990182,332.0449490017361,1130.5082893218316,332.0449490017361,83.01123725043402,348.2138323108582,0.34382086540558526
138,convolutionTexture,1500,3600,130.29375,0.4166666666666667,2772.415586738053,4043.501490625,162.93921185501597,2.7399731158326617,2642.1218367380534,490.5453065837607,28.0,898.395328,0.0,52.846784,0.0,0.0,1100.010424936415,27.555138574307072,331.8303493923611,1128.010424936415,331.8303493923611,82.95758734809027,348.78186721825875,0.31435277242607773
132,convolutionTexture,1300,3100,130.50454838709678,0.41935483870967744,2804.1002601770215,3982.604166666667,163.08722028653452,2.765708235169464,2673.5957117899247,491.008597331789,28.0,903.4752000000001,0.0,53.1456,0.0,0.0,1106.201921875,27.55400131772338,331.82861328125,1134.201921875,331.82861328125,82.9571533203125,346.8208092485549,0.29591288944892097
126,convolutionTexture,1100,2600,130.79642307692308,0.4230769230769231,2832.9630454048347,3985.8750250000003,163.29828517325757,2.80142530169549,2702.1666223279117,490.4312704969916,28.0,906.8762879999999,0.0,53.345664,0.0,0.0,1110.7472939912109,27.632030877106626,331.94744194878473,1138.7472939912109,331.94744194878473,82.98686048719618,345.52011574923876,0.2892494050525745
145,convolutionTexture,900,2100,131.22728571428573,0.42857142857142855,2890.6772324392823,4002.102868125,163.71806902030124,2.8516033007471226,2759.4499467249966,495.62462766197535,28.0,910.3437439999999,0.0,53.549631999999995,0.0,0.0,1113.6926590063476,27.38104058770902,331.5631103515625,1141.6926590063476,331.5631103515625,82.89077758789062,344.20404607075545,0.2777104118281759
137,convolutionTexture,1500,3100,135.56370967741935,0.4838709677419355,3021.687313709362,4067.5276499999995,166.75432835941263,3.1332473434446553,2886.1236040319427,500.53736366519394,28.0,898.287616,0.0,52.840447999999995,0.0,0.0,1100.3523520052083,27.64930801198006,331.9736735026042,1128.3523520052083,331.9736735026042,82.99341837565105,348.8236890043022,0.25711941657990633
131,convolutionTexture,1300,2600,136.82850000000002,0.5,3108.3953269190392,4027.9813703819445,167.71760870611016,3.2410169787677554,2971.566826919039,504.5711736800201,28.0,902.0531840000001,0.0,53.061952000000005,0.0,0.0,1104.5867718077259,27.577651792658052,331.86469184027777,1132.5867718077259,331.86469184027777,82.96617296006944,347.3675450160597,0.22829947780411594
125,convolutionTexture,1100,2100,138.69557142857144,0.5238095238095238,3215.6958490535626,4091.834236111111,169.20018900109838,3.3995702593453867,3077.000277624991,508.5317325942131,28.0,903.9104,0.0,53.1712,0.0,0.0,1107.0097809895833,27.608682260799515,331.9119466145833,1135.0097809895833,331.9119466145833,82.97798665364583,346.6538276360135,0.2141187390548431
136,convolutionTexture,1500,2600,142.86057692307693,0.5769230769230769,3372.104978664328,4249.184362239583,172.38829602734802,3.6695472152717254,3229.244401741251,519.6896688560245,28.0,896.286784,0.0,52.722752,0.0,0.0,1097.224932143392,27.512822178374183,331.7656656901042,1125.224932143392,331.7656656901042,82.94141642252605,349.60238797853344,0.20641123302849107
