,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
176,mergeSort,1709,3500,608.7802914285714,0.48828571428571427,6730.657433776653,6702.2748174200005,6121.877142348082,12162.364860455385,2140.3627565625,995.088623046875,1674.7136723661151,449.735569484375,3815.0764289286153,1444.82419253125,112.43389237109375,0.0042347735850644325
184,mergeSort,1809,3500,615.1454342857143,0.5168571428571429,7040.389865743504,7068.458792843437,6425.24443145779,12263.116072570188,2140.6129502734375,995.088623046875,1674.9115560166879,449.735569484375,3815.5245062901254,1444.82419253125,112.43389237109375,0.0039710109265051665
188,mergeSort,1909,3500,621.5105771428572,0.5454285714285714,7348.3713027493195,7556.468172995437,6726.860725606462,12363.254612605902,2140.426442234375,995.088623046875,1674.764042749897,449.735569484375,3815.190484984272,1444.82419253125,112.43389237109375,0.027538906468208772
199,nn,1609,5000,571.690604,0.3218,1563.8206991881207,3087.1953710186663,992.1300951881208,4415.9449033398805,28.0,0.0,211.46177151098433,79.86904895238094,239.46177151098433,79.86904895238094,19.967262238095234,0.49344938973780766
195,nn,1709,5000,576.146204,0.3418,1566.0809326792828,3252.5204353,989.9347286792828,4415.958866375595,28.0,0.0,210.99661416988567,79.86904895238094,238.99661416988567,79.86904895238094,19.967262238095234,0.5185023541489806
198,nn,1609,4500,579.6562266666667,0.35755555555555557,1570.4875987411776,3081.596789013333,990.8313720745109,4415.969896887052,28.0,0.0,211.1790350776929,79.86904895238094,239.1790350776929,79.86904895238094,19.967262238095234,0.4903656427926065
203,nn,1809,5000,580.601804,0.3618,1571.9927134933282,3447.8005413239994,991.3909094933282,4415.972829411309,28.0,0.0,211.29500493677176,79.86904895238094,239.29500493677176,79.86904895238094,19.967262238095234,0.5440592648408649
194,nn,1709,4500,584.6068933333333,0.37977777777777777,1576.13385898581,3254.6080471600003,991.5269656524769,4415.985413281819,28.0,0.0,211.31768774667424,79.86904895238094,239.31768774667424,79.86904895238094,19.967262238095234,0.5157223738934836
207,nn,1909,5000,585.057404,0.3818,1575.794487907653,3635.885564165333,990.737083907653,4415.986792447024,28.0,0.0,211.15219907724492,79.86904895238094,239.15219907724492,79.86904895238094,19.967262238095234,0.5665995367295346
202,nn,1809,4500,589.55756,0.402,1581.0757586549778,3448.0343413080004,991.5181986549778,4416.0009296765875,28.0,0.0,211.30906188938738,79.86904895238094,239.30906188938738,79.86904895238094,19.967262238095234,0.5414559130941828
197,nn,1609,4000,589.613255,0.40225,1579.6239557365734,3073.2759527799994,990.0107007365734,4416.001147467262,28.0,0.0,210.99341940792758,79.86904895238094,238.99341940792758,79.86904895238094,19.967262238095234,0.486012977680156
206,nn,1909,4500,594.5082266666667,0.4242222222222222,1586.7251388155773,3641.083595537333,992.2169121489106,4416.016446071355,28.0,0.0,211.44835351076034,79.86904895238094,239.44835351076034,79.86904895238094,19.967262238095234,0.5642162292674809
193,nn,1709,4000,595.182755,0.42725,1586.09340878688,3256.78415104,990.9106537868801,4416.018606098214,28.0,0.0,211.17392345855998,79.86904895238094,239.17392345855998,79.86904895238094,19.967262238095234,0.5129878631101826
201,nn,1809,4000,600.752255,0.45225,1591.7209383268641,3448.98939924,990.968683326864,4416.036064729166,28.0,0.0,211.1783961253013,79.86904895238094,239.1783961253013,79.86904895238094,19.967262238095234,0.5384964248722809
196,nn,1609,3500,602.4151485714285,0.45971428571428574,1592.607364549282,3072.179912706667,990.1922159778535,4416.041340900996,28.0,0.0,211.01322693206777,79.86904895238094,239.01322693206777,79.86904895238094,19.967262238095234,0.4816034835843467
205,nn,1909,4000,606.321755,0.47725,1597.9780731025676,3633.7789546666672,991.6563181025675,4416.053523360119,28.0,0.0,211.31449298471614,79.86904895238094,239.31449298471614,79.86904895238094,19.967262238095234,0.5602434564572591
192,nn,1709,3500,608.7802914285714,0.48828571428571427,1599.966572935356,3252.9529832000003,991.1862815067847,4416.061297570092,28.0,0.0,211.21226060205709,79.86904895238094,239.21226060205709,79.86904895238094,19.967262238095234,0.5081494933377628
200,nn,1809,3500,615.1454342857143,0.5168571428571429,1605.6677018475293,3447.0960274799995,990.5222675618152,4416.081254239189,28.0,0.0,211.0646625995931,79.86904895238094,239.0646625995931,79.86904895238094,19.967262238095234,0.5341969910187407
204,nn,1909,3500,621.5105771428572,0.5454285714285714,1611.231221788038,3624.6605881680002,989.7206446451809,4416.101210908285,28.0,0.0,210.88831173950624,79.86904895238094,238.88831173950624,79.86904895238094,19.967262238095234,0.5554808008651654
215,quasirandomGenerator,1609,5000,571.690604,0.3218,44315.472700000006,66139.671683869,36877.953692684314,147108.478683937,28.0,0.0,43715.782096,18404.0,43743.782096,18404.0,4601.0,0.3299713837132906
211,quasirandomGenerator,1709,5000,576.146204,0.3418,44478.276315999996,70034.24110701199,39306.92220399163,148296.15848633347,28.0,0.0,43874.130112,18404.0,43902.130112,18404.0,4601.0,0.364906714016685
214,quasirandomGenerator,1609,4500,579.6562266666667,0.35755555555555557,44520.581970666666,66420.052467979,41256.53840241423,149248.9434952492,28.0,0.0,43912.925744,18404.0,43940.925744,18404.0,4601.0,0.3297117313761538
219,quasirandomGenerator,1809,5000,580.601804,0.3618,44930.97974,75007.82369571752,42043.85449793079,149535.77330081732,28.0,0.0,44322.377936000004,18404.0,44350.377936000004,18404.0,4601.0,0.40098275718183146
210,quasirandomGenerator,1709,4500,584.6068933333333,0.37977777777777777,44537.75289333333,70251.293903,43824.93074081988,150562.4253039615,28.0,0.0,43925.146,18404.0,43953.146,18404.0,4601.0,0.36602231191884993
223,quasirandomGenerator,1909,5000,585.057404,0.3818,44519.54849473384,78353.5244541525,43934.49109073384,150704.67376471523,28.0,0.0,43900.85272,18404.0,43928.85272,18404.0,4601.0,0.4318117939827474
218,quasirandomGenerator,1809,4500,589.55756,0.402,46975.92726025399,74409.97371610951,46386.36970025399,151875.15559010374,28.0,0.0,43930.446352,18404.0,43958.446352,18404.0,4601.0,0.36868775898943956
213,quasirandomGenerator,1609,4000,589.613255,0.40225,47378.76036533611,66794.04263933333,46789.14711033611,151816.49835391407,28.0,0.0,44176.54464,18404.0,44204.54464,18404.0,4601.0,0.2906738611231184
222,quasirandomGenerator,1909,4500,594.5082266666667,0.4242222222222222,49447.66537235228,78336.9242941285,48853.15714568562,153199.4134249473,28.0,0.0,43846.96580800001,18404.0,43874.96580800001,18404.0,4601.0,0.36878214433473133
209,quasirandomGenerator,1709,4000,595.182755,0.42725,49852.3563940054,69858.16791445098,49257.1736390054,153328.52679944533,28.0,0.0,43782.40457599999,18404.0,43810.40457599999,18404.0,4601.0,0.2863775578103465
217,quasirandomGenerator,1809,4000,600.752255,0.45225,53113.484362935924,74751.13448778147,52512.732107935924,154817.53688064974,28.0,0.0,44100.499312,18404.0,44128.499312,18404.0,4601.0,0.2894624981027191
212,quasirandomGenerator,1609,3500,602.4151485714285,0.45971428571428574,54111.76605780443,66678.29311871468,53509.350909233,155233.83716652484,28.0,0.0,44048.747264,18404.0,44076.747264,18404.0,4601.0,0.1884650382177102
221,quasirandomGenerator,1909,4000,606.321755,0.47725,55922.28950068529,78660.00809077133,55315.967745685295,156358.11254726825,28.0,0.0,44007.669536,18404.0,44035.669536,18404.0,4601.0,0.28906326279355804
