appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
conjugateGradient,1900,3500,input00,csrMv_kernel,0.639158,(32768 1 1) (4 32 1),0.90201,0.8764,0.98,1.966198,1048660,164.21,166046,25.967,1603994,251.1,131085,20.522,786432,491.71,262144,164.13,0.6219,410.33,2621440,1,1835008,1835008,16777210,0.0086,205.23,2752510,20.523,131072,11931317,91,1.594472
conjugateGradient,1900,4000,input00,csrMv_kernel,0.584932,(32768 1 1) (4 32 1),0.89796,0.8764,0.9781,2.266739,1048661,185.88,166038,29.447,1604525,285.21,131085,23.304,786432,558.45,262144,186.2,0.6218,465.51,2621440,1,1835008,1835008,16777210,0.0098,232.92,2752510,23.291,131072,11930982,91,1.814102
conjugateGradient,1900,4500,input00,csrMv_kernel,0.550861,(32768 1 1) (4 32 1),0.895754,0.8764,0.9759,2.539219,1048659,204.58,165951,32.347,1604774,313.04,131085,25.572,786432,613.21,262144,204.61,0.6217,511.51,2621440,1,1835008,1835008,16777210,0.0107,255.82,2752510,25.582,131072,11931292,91,2.002769
conjugateGradient,1900,5000,input00,csrMv_kernel,0.520525,(32768 1 1) (4 32 1),0.892556,0.8764,0.9745,2.723944,1048650,216.34,165792,34.227,1605004,331.39,131085,27.068,786432,649.73,262144,216.67,0.6217,541.67,2621440,1,1835008,1835008,16777210,0.0114,270.86,2752510,27.086,131072,11930944,91,2.126135
convolutionSeparable,1600,3500,input00,convolutionRowsKernel,0.625772,(24 768 1) (16 4 1),0.873425,1,0.9807,1.472285,1179922,121.45,1177752,122.01,1462473,151.26,1179661,122,9510912,3913.9,737280,305.24,0.5,151.35,1462272,1,110592,110592,320864256,0.1085,149.8,2924544,120.84,1179648,12055187,326.916667,1.069281
convolutionSeparable,1600,4000,input00,convolutionRowsKernel,0.556243,(24 768 1) (16 4 1),0.939527,1,0.984,2.070334,1179692,131.1,1177545,129.33,1462495,159.89,1179661,128.97,9510912,4179,737280,322.29,0.5,159.8,1462272,1,110592,110592,320864256,0.1161,159.94,2924544,129.03,1179648,12055141,326.916667,1.14298
convolutionSeparable,1600,4500,input00,convolutionRowsKernel,0.510105,(24 768 1) (16 4 1),0.93917,1,0.9833,2.114153,1179714,129.9,1177694,129.65,1462474,160.35,1179661,129.34,9510912,4191.3,737280,323.52,0.5,160.41,1462272,1,110592,110592,320864256,0.1166,160.45,2924544,129.44,1179648,12055291,326.916667,1.14574
convolutionSeparable,1600,5000,input00,convolutionRowsKernel,0.481339,(24 768 1) (16 4 1),0.950622,1,0.9843,2.129245,1179677,131.68,1177358,131.49,1462495,162.85,1179661,131.29,9510912,4249.2,737280,328.3,0.5,162.78,1462272,1,110592,110592,320864256,0.1168,162.82,2924544,131.35,1179648,12055257,326.916667,1.147589
convolutionSeparable,1700,3500,input00,convolutionRowsKernel,0.624521,(24 768 1) (16 4 1),0.873852,1,0.9804,1.433254,1179924,121.42,1177636,122.4,1462495,151.35,1179661,122.02,9510912,3926.9,737280,305.41,0.5,151.43,1462272,1,110592,110592,320864256,0.1076,149.88,2924544,120.91,1179648,12055015,326.916667,1.062788
convolutionSeparable,1700,4000,input00,convolutionRowsKernel,0.559761,(24 768 1) (16 4 1),0.936159,1,0.9838,2.070359,1179708,130.81,1177653,130.58,1462500,174.68,1179661,140.89,9510912,4217.7,737280,325.43,0.5,161.36,1462272,1,110592,110592,320864256,0.1161,161.53,2924544,130.31,1179648,12055453,326.916667,1.142489
convolutionSeparable,1700,4500,input00,convolutionRowsKernel,0.489766,(24 768 1) (16 4 1),0.946861,1,0.9839,2.108625,1179681,131.05,1177681,130.87,1462467,161.84,1179661,130.54,9510912,4225.8,737280,326.35,0.5,161.81,1462272,1,110592,110592,320864256,0.1166,193.07,2924544,155.75,1179648,12055328,326.916667,1.14544
convolutionSeparable,1700,5000,input00,convolutionRowsKernel,0.479678,(24 768 1) (16 4 1),0.95102,1,0.9842,2.115664,1179679,132.62,1177601,131.02,1462474,162.27,1179661,130.84,9510912,4233.2,737280,327.08,0.5,162.17,1462272,1,110592,110592,320864256,0.1169,193.57,2924544,156.16,1179648,12055474,326.916667,1.14767
convolutionSeparable,1800,3500,input00,convolutionRowsKernel,0.632737,(24 768 1) (16 4 1),0.87234,1,0.9805,1.427933,1179974,121.28,1177681,122.36,1462479,151.31,1179661,122.04,9510912,3923.9,737280,304.61,0.5,151.03,1462272,1,110592,110592,320864256,0.0847,149.89,2924544,120.92,1179648,12055026,326.916667,1.066106
convolutionSeparable,1800,4000,input00,convolutionRowsKernel,0.55437,(24 768 1) (16 4 1),0.938352,1,0.9837,2.073263,1179688,130.77,1177757,130.54,1462469,161.52,1179661,130.22,9510912,4217.9,737280,325.5,0.5,161.39,1462272,1,110592,110592,320864256,0.116,161.48,2924544,130.27,1179648,12054992,326.916667,1.142912
convolutionSeparable,1800,4500,input00,convolutionRowsKernel,0.491322,(24 768 1) (16 4 1),0.946595,1,0.9842,2.110503,1179679,131.1,1177664,130.97,1462473,162.01,1179661,130.63,9510912,4229,737280,401.18,0.5,198.92,1462272,1,110592,110592,320864256,0.1164,162.02,2924544,130.71,1179648,12055368,326.916667,1.145629
