appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
histogram,1202,715,input00,histogram256Kernel,0.245234,(240 1 1) (192 1 1),46080,0.400081,1.0,0.9270999999999999,1.394488,2097176,262.78,64995,8.136,2097292,262.59,7701,0.9861000000000001,7421201,3796.0,7421201,3718.4,0.5,262.69,2097152,1.0,542048,542048,0,0.0,525.54,4194304,0.9841900000000001,7680,13200873,9.1659e+03,0.894062
histogram,1328,715,input00,histogram256Kernel,0.233863,(240 1 1) (192 1 1),46080,0.400162,1.0,0.9331999999999999,1.324651,2097173,276.42,65016,8.5635,2097260,276.27,7701,1.0133,7421201,3994.1,7421201,3908.4,0.5,276.12,2097152,1.0,542048,542048,0,0.0,552.72,4194304,1.0114,7680,13200877,9.1659e+03,0.854563
histogram,607,715,input00,histogram256Kernel,0.364231,(240 1 1) (192 1 1),46080,0.393942,1.0,0.9481,2.014432,2097180,179.4,64813,5.5386,2097261,179.23,7701,0.6732899999999999,7421201,2577.4,7421201,2537.6,0.5,179.27,2097152,1.0,542048,542048,0,0.0,357.19,4194304,0.66853,7680,13200796,9.1659e+03,1.168190
histogram,810,715,input00,histogram256Kernel,0.331076,(240 1 1) (192 1 1),46080,0.397924,1.0,0.9047,1.644979,2097175,196.09,65095,6.1048,2097265,197.12,7701,0.74005,7421201,2819.2,7421201,2787.4,0.5,196.92,2097152,1.0,542048,542048,0,0.0,392.36,4194304,0.73433,7680,13200989,9.1659e+03,1.006391
hotspot,1012,715,input00,calculate_temp,0.03301,(37 37 1) (16 16 1),350464,0.655050,0.9309999999999999,0.8334,3.114232,37546,42.274,30269,34.126,127142,143.41,56440,63.653,75887,355.76,32523,146.72,0.3815,97.482,86432,1.0,164058,164058,11562496,0.0547,239.73,212576,63.623,56417,2148665,195.361486,1.657338
hotspot,1202,715,input00,calculate_temp,0.030099,(37 37 1) (16 16 1),350464,0.655145,0.9309999999999999,0.8234,3.095542,37315,48.522,30338,39.39,127145,165.44,56440,73.427,75887,412.35,32523,169.29,0.3814,112.48,86432,1.0,164058,164058,11562496,0.0541,276.63,212576,73.416,56417,2148566,195.361486,1.657928
hotspot,1328,715,input00,calculate_temp,0.026953,(37 37 1) (16 16 1),350464,0.655351,0.9309999999999999,0.8233,3.073161,37456,53.267,30361,43.072,127170,180.81,56440,80.26,75887,454.38,32523,184.8,0.3814,122.78,86432,1.0,164058,164058,11562496,0.053899999999999997,302.53,212576,80.289,56417,2148613,195.361486,1.657398
hotspot,607,715,input00,calculate_temp,0.04913,(37 37 1) (16 16 1),350464,0.659756,0.9309999999999999,0.8562000000000001,3.197055,37457,26.658,30162,21.425,127130,90.396,56438,40.132,75887,219.81,32523,92.505,0.38159999999999994,61.459,86432,1.0,164058,164058,11562496,0.058899999999999994,151.4,212576,40.18,56417,2148358,195.361486,1.661735
hotspot,810,715,input00,calculate_temp,0.039238,(37 37 1) (16 16 1),350464,0.657343,0.9309999999999999,0.8384999999999999,3.147164,37380,34.357,30236,27.771,127174,116.64,56440,51.774,75887,288.09,32523,119.5,0.3815,79.395,86432,1.0,164058,164058,11562496,0.0567,195.31,212576,51.835,56417,2149438,195.361486,1.656570
matrixMulGlobal,1012,715,input00,matrixMulCUDA,5.144425,(32 32 1) (32 32 1),1048576,0.903322,1.0,0.9621999999999999,5.038280,1362667,7.8529,186615,1.0766,39050274,225.45,131092,0.77248,0,0.0,0,0.0,0.9028,1546.8,268435456,1.0,8552448,8552448,2147483648,0.056600000000000004,2318.4,402653184,0.77152,131072,579970949,1.7699e+04,2.037016
matrixMulGlobal,1202,715,input00,matrixMulCUDA,4.417892,(32 32 1) (32 32 1),1048576,0.904175,1.0,0.9639,4.965263,1358139,9.1791,186696,1.2619,39211485,265.12,131091,0.9069400000000001,0,0.0,0,0.0,0.9023,1815.9,268435456,1.0,8552448,8552448,2147483648,0.056299999999999996,2724.1,402653184,0.9069400000000001,131072,579970933,1.7699e+04,2.019397
matrixMulGlobal,1328,715,input00,matrixMulCUDA,4.09457,(32 32 1) (32 32 1),1048576,0.908850,1.0,0.9639,4.761474,1359434,9.8795,186770,1.3625,39298971,283.26,131092,0.97466,0,0.0,0,0.0,0.9025,1950.9,268435456,1.0,8552448,8552448,2147483648,0.055,2926.7,402653184,0.97466,131072,579970945,1.7699e+04,1.964495
matrixMulGlobal,607,715,input00,matrixMulCUDA,8.247738,(32 32 1) (32 32 1),1048576,0.899335,1.0,0.9604,5.624467,1325708,4.7879,185574,0.68474,40689055,147.23,131092,0.48447,0,0.0,0,0.0,0.8985,972.47,268435456,1.0,8552448,8552448,2147483648,0.0591,1455.8,402653184,0.48447,131072,579970581,1.7699e+04,2.126082
matrixMulGlobal,810,715,input00,matrixMulCUDA,6.330086,(32 32 1) (32 32 1),1048576,0.902356,1.0,0.9617,5.298470,1348310,6.3423,186263,0.8993099999999999,39831122,187.77,131092,0.63324,0,0.0,0,0.0,0.9007999999999999,1265.6,268435456,1.0,8552448,8552448,2147483648,0.057800000000000004,1898.6,402653184,0.63229,131072,579970954,1.7699e+04,2.080827
matrixMulShared,1012,715,input00,matrixMulCUDA,1.261727,(32 32 1) (32 32 1),1048576,0.983200,1.0,0.9566,1.542120,1407599,33.292,181772,4.3139,8370289,197.99,131092,3.1004,50331648,4759.9,2097152,198.3,0.501,198.3,8388608,1.0,1114112,1114112,2147483648,0.2323,397.58,16777216,3.105,131072,97953669,2.9890e+03,1.419603
matrixMulShared,1202,715,input00,matrixMulCUDA,1.073531,(32 32 1) (32 32 1),1048576,0.985624,1.0,0.9543,1.542960,1312274,36.721,182562,5.1018,8363520,234.08,131092,3.6666,50331648,5634.1,2097152,234.46,0.5013000000000001,234.46,8388608,1.0,1114112,1114112,2147483648,0.23190000000000002,469.34,16777216,3.6657,131072,97953653,2.9890e+03,1.420418
matrixMulShared,1328,715,input00,matrixMulCUDA,0.977228,(32 32 1) (32 32 1),1048576,0.981503,1.0,0.9589,1.538930,1345304,41.381,182436,5.6075,8359880,256.96,131092,4.0298,50331648,6196.4,2097152,257.84,0.5015,257.84,8388608,1.0,1114112,1114112,2147483648,0.23199999999999998,515.04,16777216,4.0224,131072,97953664,2.9890e+03,1.414417
matrixMulShared,607,715,input00,matrixMulCUDA,2.081319,(32 32 1) (32 32 1),1048576,0.983830,1.0,0.9579000000000001,1.553948,1438626,20.688,180924,2.5956,8372224,120.45,131092,1.885,50331648,2890.4,2097152,120.62,0.5008,120.62,8388608,1.0,1114112,1114112,2147483648,0.2349,241.19,16777216,1.8831,131072,97953303,2.9890e+03,1.432032
matrixMulShared,810,715,input00,matrixMulCUDA,1.574894,(32 32 1) (32 32 1),1048576,0.983316,1.0,0.9562999999999999,1.547786,1413737,26.86,181414,3.4478,8369725,159.52,131092,2.4978,50331648,3843.9,2097152,159.82,0.5009,159.82,8388608,1.0,1114112,1114112,2147483648,0.23309999999999997,319.23,16777216,2.4932,131072,97953673,2.9890e+03,1.424571
mergeSort,1012,715,input00,mergeElementaryIntervalsKernel,1.425364,(8192 1 1) (128 1 1),1048576,0.905748,0.8476,0.9151,2.117622,264306,106.77,267103,107.86,294079,118.81,317632,128.33,881235,1440.7,285358,461.03,0.5005,127.79,316382,1.0,506758,506758,0,0.0,247.31,612121,128.28,317506,5780684,176.348721,1.459504
mergeSort,1202,715,input00,mergeElementaryIntervalsKernel,1.228991,(8192 1 1) (128 1 1),1048576,0.905826,0.8476,0.9259999999999999,2.074911,264298,123.87,267087,125.09,294007,137.66,317633,148.72,881235,1676.5,285358,534.2,0.5005,148.07,316382,1.0,506758,506758,0,0.0,286.69,612121,148.71,317506,5780652,176.348721,1.441949
mergeSort,1328,715,input00,mergeElementaryIntervalsKernel,1.13324,(8192 1 1) (128 1 1),1048576,0.906623,0.8476,0.9261,2.039873,264299,134.48,267085,135.68,293977,149.43,317638,161.45,881235,1826.8,285358,580.45,0.5006,160.89,316382,1.0,506758,506758,0,0.0,311.47,612121,161.56,317506,5780644,176.348721,1.427626
mergeSort,607,715,input00,mergeElementaryIntervalsKernel,2.223236,(8192 1 1) (128 1 1),1048576,0.910312,0.8476,0.9335,2.177641,264310,66.359,267134,67.025,294170,73.818,317612,79.704,881235,889.17,285358,286.51,0.5004,79.414,316382,1.0,506758,506758,0,0.0,153.6,612121,79.67,317506,5780663,176.348721,1.483315
mergeSort,810,715,input00,mergeElementaryIntervalsKernel,1.740896,(8192 1 1) (128 1 1),1048576,0.907819,0.8476,0.9233,2.148712,264317,86.758,267160,87.716,294117,96.525,317631,104.24,881235,1168.5,285358,374.56,0.5004,103.82,316382,1.0,506758,506758,0,0.0,200.91,612121,104.21,317506,5780883,176.348721,1.472425
nn,1012,715,input00,euclid,0.010519,(168 1 1) (256 1 1),43008,0.318989,0.9997,0.2345,0.983366,0,0.0,34,0.27180000000000004,10835,83.229,5359,41.15,0,0.0,0,0.0,0.5,82.27,10692,1.0,6692,6692,513168,0.011000000000000001,165.06,21382,41.269,5346,58703,40.848958,0.674495
nn,1202,715,input00,euclid,0.010369,(168 1 1) (256 1 1),43008,0.318675,0.9997,0.248,0.989536,0,0.0019073,35,0.32425,10838,96.982,5359,47.964,0,0.0,0,0.0,0.5,95.764,10692,1.0,6692,6692,513168,0.011899999999999999,190.17,21382,47.545,5346,58704,40.848958,0.675642
nn,1328,715,input00,euclid,0.010423,(168 1 1) (256 1 1),43008,0.318901,0.9997,0.20600000000000002,0.979844,0,0.0009765599999999999,35,0.35286,10838,104.68,5359,51.773,0,0.0,0,0.0,0.5,103.35,10692,1.0,6692,6692,513168,0.011699999999999999,205.82,21382,51.459,5346,58717,40.848958,0.672989
nn,607,715,input00,euclid,0.012316,(168 1 1) (256 1 1),43008,0.314969,0.9997,0.3017,1.078087,0,0.0,25,0.14973,10835,62.67,5359,30.985,0,0.0,0,0.0,0.5,61.794,10692,1.0,6692,6692,513168,0.016,123.13,21382,30.784,5346,58457,40.848958,0.736464
nn,810,715,input00,euclid,0.01114,(168 1 1) (256 1 1),43008,0.321864,0.9997,0.2762,1.008200,0,0.0019073,27,0.18501,10835,71.518,5359,35.36,0,0.0,0,0.0,0.5,70.83,10692,1.0,6692,6692,513168,0.0124,140.8,21382,35.203,5346,58745,40.848958,0.675529
sortingNetworks,1012,715,input00,bitonicMergeGlobal,2.581719,(2048 1 1) (256 1 1),524288,0.828935,1.0,0.8549,0.737841,262165,228.49,258181,226.98,262290,230.66,262165,230.55,0,0.0,0,0.0,0.5,230.52,262144,1.0,16384,16384,0,0.0,456.81,524288,228.4,262144,961795,58.000000,0.539388
sortingNetworks,1202,715,input00,bitonicMergeGlobal,2.455736,(2048 1 1) (256 1 1),524288,0.834514,1.0,0.8651000000000001,0.618261,262165,230.72,257844,229.07,262291,233.13,262165,233.02,0,0.0,0,0.0,0.5,232.99,262144,1.0,16384,16384,0,0.0,461.31,524288,230.65,262144,961984,58.000000,0.457951
sortingNetworks,1328,715,input00,bitonicMergeGlobal,2.394793,(2048 1 1) (256 1 1),524288,0.837914,1.0,0.8534,0.558411,262165,231.46,257888,229.95,262290,233.91,262165,233.8,0,0.0,0,0.0,0.5,233.76,262144,1.0,16384,16384,0,0.0,463.04,524288,231.52,262144,962304,58.000000,0.416375
sortingNetworks,607,715,input00,bitonicMergeGlobal,3.112064,(2048 1 1) (256 1 1),524288,0.815945,1.0,0.8156,1.252937,262165,219.0,258853,218.31,262291,221.09,262165,220.98,0,0.0,0,0.0,0.5,221.05,262144,1.0,16384,16384,0,0.0,438.21,524288,219.1,262144,960685,58.000000,0.871617
