,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
790,SobolQRNG,400,1000,366.432,0.4,1397594.8660155765,2415608.856576,1397228.4340155765,2312728.6356470003,97686.57664,43932.0,390246.58300864,100315.304,487933.15964863996,144247.304,25078.826,0.4214316352538156
789,SobolQRNG,400,900,376.3333333333333,0.4444444444444444,1581378.2285970505,2440695.917568,1581001.8952637173,2398016.904611778,97678.242112,43932.0,389335.17299568,100089.56,487013.41510768,144021.56,25022.39,0.35207896353889323
788,SobolQRNG,400,800,388.71,0.5,1802075.86498745,2458812.4327936,1801687.15498745,2481146.4340853966,97654.242688,43932.0,389206.43974206405,100081.062,486860.6824300641,144013.062,25020.2655,0.26709502483684505
797,SobolQRNG,500,1000,388.71,0.5,1759619.0047825335,2414267.505664,1759230.2947825335,2477736.5718823196,97634.36032,43932.0,389191.25109936006,100097.542,486825.61141936004,144029.54200000002,25024.3855,0.27115822888127605
796,SobolQRNG,500,900,401.08666666666664,0.5555555555555556,1978951.5979372272,2437391.1601151996,1978550.5112705606,2562502.8694270616,97701.43820799999,43932.0,389359.660967168,100072.084,487061.09917516797,144004.084,25018.021,0.18808616757119317
787,SobolQRNG,400,700,404.62285714285713,0.5714285714285714,2093048.4124868151,2485516.494848,2092643.7896296722,2588609.268065975,97662.97888,43932.0,389099.24141568,100044.544,486762.22029568,143976.544,25011.136,0.1579020228490521
804,SobolQRNG,600,1000,410.988,0.6,2095399.1348821667,2398326.4320921595,2094988.1468821669,2602378.2504981863,97648.719808,43932.0,390095.61862236797,100315.384,487744.338430368,144247.38400000002,25078.846,0.1263077841099957
795,SobolQRNG,500,800,416.5575,0.625,2250329.86038181,2462473.7894144,2249913.30288181,2661739.9621157153,97666.19219200002,43932.0,389307.37795256806,100094.766,486973.5701445681,144026.766,25023.6915,0.08615073587566577
786,SobolQRNG,400,600,425.84000000000003,0.6666666666666666,2491535.8879593005,2561042.3746559997,2491110.0479593007,2729347.061955695,97672.719232,43932.0,389064.366185584,100025.598,486737.085417584,143957.598,25006.3995,0.027139920598164766
803,SobolQRNG,600,900,425.84000000000003,0.6666666666666666,2351722.5009543253,2424867.05507328,2351296.6609543255,2699327.641716782,97662.77804800001,43932.0,390150.41067793604,100315.028,487813.18872593605,144247.028,25078.757,0.030164356419426108
811,SobolQRNG,700,1000,433.26599999999996,0.7,2444690.8469271064,2436723.3419827195,2444257.5809271066,2747206.5666352264,97652.535616,43932.0,390111.30988439196,100315.49799999999,487763.84550039197,144247.498,25078.874499999998,0.0032697618178943004
794,SobolQRNG,500,700,436.4485714285714,0.7142857142857143,2612396.8357551103,2622904.109056,2611960.3871836816,2791878.1929696426,97714.49228800001,43932.0,389536.82619328005,100104.24,487251.31848128006,144036.24,25026.06,0.004005969285957432
802,SobolQRNG,600,800,444.405,0.75,2679410.1900632554,2635501.7156198393,2678965.7850632556,2820548.872640381,97705.856512,43932.0,390324.286619872,100315.474,488030.14313187194,144247.474,25078.8685,0.016660385452676264
810,SobolQRNG,700,900,450.59333333333336,0.7777777777777778,2745265.1577548427,2702802.8427008,2744814.5644215094,2860287.1976865362,97721.019328,43932.0,390384.75263714395,100315.442,488105.77196514397,144247.44199999998,25078.8605,0.015710474468648955
785,SobolQRNG,400,500,455.544,0.8,3083545.4121470232,2834939.1605760003,3083089.868147023,2927333.833246976,97901.96896,43932.0,389986.39276948,100027.802,487888.36172948,143959.802,25006.9505,0.08769368141237688
818,SobolQRNG,800,1000,455.544,0.8,2797901.421202834,2758974.80208384,2797445.877202834,2891844.7992927115,97803.260032,43932.0,390713.284760128,100315.416,488516.544792128,144247.416,25078.854,0.014109088306856959
793,SobolQRNG,500,600,462.97,0.8333333333333334,3116709.318358015,3089620.2321920004,3116246.3483580146,2968230.2705580555,97825.25113599999,43932.0,390004.16644908796,100110.832,487829.41758508794,144042.832,25027.708,0.008767772130620554
801,SobolQRNG,600,700,468.2742857142857,0.8571428571428571,3144616.213106377,3120219.493171199,3144147.938820663,3002725.7171847434,97946.754496,43932.0,390408.687526632,100090.318,488355.442022632,144022.318,25022.5795,0.00781891145432929
809,SobolQRNG,700,800,472.2525,0.875,3134096.5759519087,3083187.9558143998,3133624.323451909,3001774.910069806,97958.302336,43932.0,391333.80801534397,100315.666,489292.110351344,144247.666,25078.9165,0.016511682345380026
817,SobolQRNG,800,900,475.3466666666667,0.8888888888888888,3143263.499416528,3090276.6085734395,3142788.152749861,3021205.002593452,97906.688512,43932.0,391126.3737319359,100315.362,489033.0622439359,144247.362,25078.8405,0.017146326220793724
825,SobolQRNG,900,1000,477.822,0.9,3150517.051170469,3100369.6072396804,3150039.2291704686,3036852.667777197,97884.69740799999,43932.0,391036.51726440794,100314.85399999999,488921.21467240795,144246.854,25078.713499999998,0.016174666340970773
784,SobolQRNG,400,400,500.1,1.0,4026067.816187195,3639418.3020543996,4025567.716187195,3236374.4379746253,97800.85004800001,43932.0,389249.376808816,99942.018,487050.226856816,143874.01799999998,24985.5045,0.10623937180140498
792,SobolQRNG,500,500,500.1,1.0,3852797.602555394,3546379.89888,3852297.502555394,3222652.4625611803,97749.637888,43932.0,389435.369548928,100042.174,487185.007436928,143974.174,25010.5435,0.08640295524237694
800,SobolQRNG,600,600,500.1,1.0,3736545.9338405477,3712920.6890495997,3736045.8338405476,3210866.53982125,97777.754368,43932.0,389857.666342784,100121.852,487635.42071078403,144053.852,25030.463,0.006362981267180091
808,SobolQRNG,700,700,500.1,1.0,3629606.6703537046,3554278.174720001,3629106.5703537045,3183920.1344814505,97735.27840000001,43932.0,390439.52887960005,100314.876,488174.80727960006,144246.876,25078.719,0.021193753536085533
