,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
24,convolutionSeparable,810,715,258.0,20.0,39.8867529296875,35.78019287109375,0.8960286457850194,0.1039713542149806,338.66694580078126,0.0,0.7626470000000001,308.8675174825175,2.69789931047973,278.0,39.9,136.0,0.0
20,convolutionSeparable,1012,715,258.0,20.0,39.8861669921875,34.97907958984375,0.9007839769403393,0.09921602305966071,337.86524658203126,0.0,0.76117,316.73492307692305,3.370708768154922,278.0,39.9,136.0,0.0
21,convolutionSeparable,1202,715,258.0,20.0,39.8861083984375,34.98733154296875,0.909022944023282,0.09097705597671801,337.8734399414062,0.0,0.752745,324.13495804195804,4.003549347156341,278.0,39.9,136.0,0.0
22,convolutionSeparable,1328,715,258.0,20.0,39.80982421875,34.5086083984375,0.9233418076970962,0.07665819230290383,337.3184326171875,0.0,0.746375,329.04234965034965,4.423222573230965,278.0,39.9,136.0,0.0
28,convolutionTexture,607,715,0.0,0.0,7.909911080210773,4.164438792935207,0.6970492578316977,0.3029507421683023,12.07434987314598,82.86710212685402,0.863298,300.9611643356643,2.0217591129150567,0.0,135.89383294301328,35.97189695550351,0.0
29,convolutionTexture,810,715,0.0,0.0,7.790933901736924,4.181144491608118,0.6984891146387786,0.3015108853612214,11.972078393345043,82.96937360665495,0.869079,308.8675174825175,2.69789931047973,0.0,135.89383294301328,35.97189695550351,0.0
25,convolutionTexture,1012,715,0.0,0.0,7.780533701697892,4.209985484972678,0.7033146903928156,0.2966853096071844,11.99051918667057,82.95093281332943,0.868764,316.73492307692305,3.370708768154922,0.0,135.89383294301328,35.97189695550351,0.0
26,convolutionTexture,1202,715,0.0,0.0,7.76306199990242,4.029091652029664,0.6975216932233245,0.30247830677667553,11.792153651932084,83.14929834806792,0.869497,324.13495804195804,4.003549347156341,0.0,135.89383294301328,35.97189695550351,0.0
27,convolutionTexture,1328,715,0.0,0.0,7.756474434035909,3.9968814036885245,0.6970754720285413,0.30292452797145875,11.753355837724435,83.18809616227557,0.8682639999999999,329.04234965034965,4.423222573230965,0.0,135.89383294301328,35.97189695550351,0.0
33,fastWalshTransform,607,715,0.0,0.0,16.000136852264404,17.281124591827393,0.9989600673186021,0.0010399326813979037,33.2812614440918,31.718738555908203,0.80901,300.9611643356643,2.0217591129150567,0.0,16.0,8.0,0.0
