,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
176,histogram,1100,2600,12032.977777777778,6020.488888888889,1490.2381944444444,5.3375,1.0,0.0,15033.675694444444,19175.324305555558,0.882807,130.79642307692308,3.590157544378698,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
177,histogram,1100,3100,12032.977777777778,6020.488888888889,1490.2263888888888,5.3375,1.0,0.0,15033.66388888889,19175.336111111108,0.881281,125.4453870967742,2.9933792924037457,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
178,histogram,1100,3600,12032.977777777778,6020.488888888889,1498.7423611111112,5.3375,0.9957172043631325,0.004282795636867509,15042.179861111112,19166.82013888889,0.890473,121.58075000000001,2.5666114969135805,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
179,histogram,1100,3900,12032.977777777778,6020.488888888889,1474.6486111111112,5.375694444444444,1.0,0.0,15018.124305555555,19190.875694444447,0.889441,119.7376153846154,2.3643281393819855,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
180,histogram,1300,2100,12032.977777777778,6020.488888888889,1482.0159722222222,5.3375,1.0,0.0,15025.453472222223,19183.546527777777,0.8677239999999999,146.16385714285715,5.298767573696145,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
181,histogram,1300,2600,12032.977777777778,6020.488888888889,1473.1729166666667,5.3375,1.0,0.0,15016.610416666666,19192.389583333334,0.878149,136.82850000000002,4.242913461538461,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
182,histogram,1300,3100,12032.977777777778,6020.488888888889,1472.6319444444443,5.3375,1.0,0.0,15016.069444444445,19192.930555555555,0.884309,130.50454838709678,3.537630072840791,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
183,histogram,1300,3600,12032.977777777778,6020.488888888889,1489.3652777777777,5.3375,1.0,0.0,15032.802777777779,19176.19722222222,0.8703489999999999,125.93725,3.03326813271605,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
184,histogram,1300,3900,12032.977777777778,6020.488888888889,1472.6402777777778,5.3375,1.0,0.0,15016.077777777778,19192.922222222223,0.8850319999999999,123.75900000000001,2.794205982905983,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
185,histogram,1500,2100,12032.977777777778,6020.488888888889,1471.9215277777778,5.3375,1.0,0.0,15015.359027777778,19193.640972222223,0.8879229999999999,153.63214285714287,6.113962585034013,18053.466666666667,1456.3555555555556,0.0,0.0,12399.527777777777,233.66319444444446
