,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
412,mergeSort,600,800,231.20025634765625,87.236328125,16.01397705078125,16.0003662109375,0.9920422936649108,0.007957706335089187,285.023681640625,1224.976318359375,0.978274,444.405,6.886865625,318.43658447265625,16.0,0.0,0.0
413,mergeSort,600,900,231.20025634765625,87.236328125,16.0098876953125,16.0003662109375,0.9918544167670882,0.008145583232911813,285.01959228515625,1224.9804077148438,0.977883,425.84000000000003,6.047118518518519,318.43658447265625,16.0,0.0,0.0
408,mergeSort,600,1000,231.20025634765625,87.236328125,16.0081787109375,16.0003662109375,0.9917586398895558,0.008241360110444185,285.01788330078125,1224.9821166992188,0.9778690000000001,410.988,5.388738,318.43658447265625,16.0,0.0,0.0
415,mergeSort,700,500,231.20025634765625,87.236328125,16.0068359375,16.0003662109375,0.9925325034419896,0.007467496558010378,285.01654052734375,1224.9834594726562,0.9784079999999999,589.212,13.700764000000001,318.43658447265625,16.0,0.0,0.0
416,mergeSort,700,600,231.20025634765625,87.236328125,16.010986328125,16.00555419921875,0.9909524000160135,0.00904759998398652,285.02587890625,1224.97412109375,0.9772770000000001,537.23,11.10423611111111,318.43658447265625,16.0,0.0,0.0
417,mergeSort,700,700,231.20025634765625,87.236328125,16.00653076171875,16.0003662109375,0.9913272476597108,0.008672752340289192,285.0162353515625,1224.9837646484375,0.9776590000000001,500.1,9.326242857142857,318.43658447265625,16.0,0.0,0.0
418,mergeSort,700,800,231.20025634765625,87.236328125,16.0107421875,16.0003662109375,0.9915190573340705,0.00848094266592947,285.02044677734375,1224.9795532226562,0.977669,472.2525,8.0346765625,318.43658447265625,16.0,0.0,0.0
419,mergeSort,700,900,231.20025634765625,87.236328125,16.0107421875,16.0003662109375,0.9910614525139665,0.00893854748603351,285.02044677734375,1224.9795532226562,0.9777399999999999,450.59333333333336,7.054971604938272,318.43658447265625,16.0,0.0,0.0
414,mergeSort,700,1000,231.20025634765625,87.236328125,16.0126953125,16.0003662109375,0.9914471250824591,0.008552874917540865,285.02239990234375,1224.9776000976562,0.977512,433.26599999999996,6.286861,318.43658447265625,16.0,0.0,0.0
421,mergeSort,800,500,231.20025634765625,87.236328125,16.00982666015625,16.0003662109375,0.9915130945457665,0.008486905454233473,285.01953125,1224.98046875,0.977678,633.768,15.658016000000002,318.43658447265625,16.0,0.0,0.0
422,mergeSort,800,600,231.20025634765625,87.236328125,16.00982666015625,16.0003662109375,0.9907599317386621,0.009240068261337941,285.01953125,1224.98046875,0.977274,574.36,12.690555555555555,318.43658447265625,16.0,0.0,0.0
423,mergeSort,800,700,231.20025634765625,87.236328125,16.0126953125,16.0003662109375,0.9909990810330561,0.009000918966943883,285.02239990234375,1224.9776000976562,0.977613,531.9257142857143,10.658563265306121,318.43658447265625,16.0,0.0,0.0
424,mergeSort,800,800,231.20025634765625,87.236328125,16.01202392578125,16.0003662109375,0.9908292039329559,0.009170796067044074,285.021728515625,1224.978271484375,0.9779700000000001,500.1,9.1824875,318.43658447265625,16.0,0.0,0.0
425,mergeSort,800,900,231.20025634765625,87.236328125,16.01080322265625,16.0003662109375,0.9914466195461713,0.008553380453828696,285.0205078125,1224.9794921875,0.9773379999999999,475.3466666666667,8.062824691358024,318.43658447265625,16.0,0.0,0.0
420,mergeSort,800,1000,231.20025634765625,87.236328125,16.00946044921875,16.0003662109375,0.991410032243364,0.008589967756636008,285.0191650390625,1224.9808349609375,0.9776959999999999,455.544,7.184984,318.43658447265625,16.0,0.0,0.0
427,mergeSort,900,500,231.20025634765625,87.236328125,16.433837890625,16.0003662109375,0.9803218655556434,0.01967813444435662,285.44354248046875,1224.5564575195312,0.975675,678.3240000000001,17.615268,318.43658447265625,16.0,0.0,0.0
428,mergeSort,900,600,231.20025634765625,87.236328125,16.011474609375,16.0003662109375,0.9904877574444881,0.009512242555511863,285.02117919921875,1224.9788208007812,0.977643,611.49,14.276875,318.43658447265625,16.0,0.0,0.0
429,mergeSort,900,700,231.20025634765625,87.236328125,16.00897216796875,16.0003662109375,0.9906014213228943,0.009398578677105696,285.0186767578125,1224.9813232421875,0.976941,563.7514285714285,11.990883673469387,318.43658447265625,16.0,0.0,0.0
430,mergeSort,900,800,231.20025634765625,87.236328125,16.01202392578125,16.0003662109375,0.9909626666615824,0.009037333338417608,285.021728515625,1224.978271484375,0.9768979999999999,527.9475,10.3302984375,318.43658447265625,16.0,0.0,0.0
431,mergeSort,900,900,231.20025634765625,87.236328125,16.0152587890625,16.0003662109375,0.9916060425817472,0.008393957418252773,285.02496337890625,1224.9750366210938,0.976707,500.1,9.070677777777778,318.43658447265625,16.0,0.0,0.0
426,mergeSort,900,1000,231.20025634765625,87.236328125,16.0126953125,16.0003662109375,0.9907836385752581,0.009216361424741915,285.02239990234375,1224.9776000976562,0.976751,477.822,8.083107,318.43658447265625,16.0,0.0,0.0
397,mergeSort,1000,500,231.20025634765625,87.236328125,16.943359375,16.0003662109375,0.9640537285780454,0.03594627142195461,285.95306396484375,1224.0469360351562,0.9668059999999999,722.88,19.57252,318.43658447265625,16.0,0.0,0.0
398,mergeSort,1000,600,231.20025634765625,87.236328125,16.490478515625,16.0003662109375,0.981340521856743,0.01865947814325697,285.50018310546875,1224.4998168945312,0.9769770000000001,648.62,15.863194444444444,318.43658447265625,16.0,0.0,0.0
399,mergeSort,1000,700,231.20025634765625,87.236328125,16.49896240234375,16.0003662109375,0.9921629240387704,0.007837075961229623,285.5086669921875,1224.4913330078125,0.976406,595.5771428571429,13.323204081632653,318.43658447265625,16.0,0.0,0.0
