,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
19,conjugateGradient,945,877,6.939424514770508,2.1188831329345703,9.249594688415527,1.3602991104125977,0.8548758323386018,0.14512416766139824,18.079039096832275,69.92096090316772,0.8581469999999999,162.03256556442417,3.0025533265551037,9.058307647705078,19.11744499206543,4.2499998807907104,0.0,27.499999821186066,1.5
15,conjugateGradient,1087,877,6.928409576416016,2.1086301803588867,9.249115943908691,1.124197006225586,0.8743534990186359,0.1256465009813641,17.828880071640015,70.17111992835999,0.885791,166.36057012542759,3.4537306518152353,9.037039756774902,19.117487907409668,4.2499998807907104,0.0,27.499999821186066,1.5
16,conjugateGradient,1237,877,6.9119720458984375,2.0976085662841797,9.248150825500488,1.1346158981323242,0.8735711556407939,0.1264288443592061,17.819140911102295,70.1808590888977,0.9042120000000001,170.93240592930442,3.930326417935093,9.009580612182617,19.11753559112549,4.2499998807907104,0.0,27.499999821186066,1.5
17,conjugateGradient,1380,877,6.901013374328613,2.087632179260254,9.24753189086914,1.0153141021728516,0.8837830559554941,0.11621694404450589,17.68576741218567,70.31423258781433,0.9158700000000001,175.29088939566702,4.38468104830269,8.988645553588867,19.11766242980957,4.2499998807907104,0.0,27.499999821186066,1.5
23,convolutionSeparable,802,877,271.2014501953125,20.33482177734375,39.57226318359375,35.23127197265625,0.8721266528648873,0.12787334713511267,351.0886907958984,0.0,0.9685809999999999,157.67408209806155,2.5481986961875056,291.5362719726562,145.32454833984374,136.0,0.0,14.0,0.25
24,convolutionSeparable,945,877,271.22246826171875,20.32975341796875,39.5599609375,35.21345703125,0.8722879981945455,0.1277120018054545,351.0783245849609,0.0,0.968576,162.03256556442417,3.0025533265551037,291.5522216796875,145.32717041015624,136.0,0.0,14.0,0.25
20,convolutionSeparable,1087,877,271.1243408203125,20.31163818359375,39.5537548828125,35.21270751953125,0.8723531146447778,0.12764688535522217,350.96871276855467,0.0,0.96859,166.36057012542759,3.4537306518152353,291.43597900390625,145.3427880859375,136.0,0.0,14.0,0.25
21,convolutionSeparable,1237,877,271.0617529296875,20.2921826171875,39.53309326171875,35.23158203125,0.8727062265779173,0.1272937734220827,350.8994738769531,0.0,0.968076,170.93240592930442,3.930326417935093,291.353935546875,145.3595458984375,136.0,0.0,14.0,0.25
22,convolutionSeparable,1380,877,270.98805908203127,20.272236328125,39.5054736328125,35.27700439453125,0.8734308289899255,0.12656917101007448,350.8385961914063,0.0,0.967664,175.29088939566702,4.38468104830269,291.2602954101563,145.3820751953125,136.0,0.0,14.0,0.25
28,convolutionTexture,802,877,0.0,0.0,7.881565915300547,4.587146272443404,0.6411194726378447,0.35888052736215525,12.46871218774395,82.47039781225605,0.8794129999999999,157.67408209806155,2.5481986961875056,0.0,137.89383294301328,35.97189695550351,0.0,11.996877439500391,0.4685792349726776
29,convolutionTexture,945,877,0.0,0.0,7.880967322892272,4.4803949551131925,0.6466773105113883,0.3533226894886117,12.361362278005465,82.57774772199454,0.878934,162.03256556442417,3.0025533265551037,0.0,137.89383294301328,35.97189695550351,0.0,11.996877439500391,0.4685792349726776
