,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc,power/W
24,binomialOptions,810,715,input00,binomialOptionsKernel,27.334,(1024 1 1) (256 1 1),8192.0,0.9020610000000001,0.9997,0.9515,0.784408,1.0,235282432,20.805999999999997,19243008,7.813721000000001,18.667,17106944,6.266317,0.1028,4272082,4.6771,10977668,11.975999999999999,17272955,18.949,17139725,18.802,344982528,1497.6,1.9934619999999998,175319040,764.52,2.0,18.892,17264480,18.756,18.686,0.0552,21.052,19308544,8178892800,2726297600,27276288.0,8392704,4196352,4066908160.0,35668992,5452595200,907610112,110790.0,0.7557159999999999,60.82640425531914
20,binomialOptions,1012,715,input00,binomialOptionsKernel,21.769000000000002,(1024 1 1) (256 1 1),8192.0,0.901869,0.9997,0.9601,0.784371,1.0,235282432,26.336,19243008,7.813721000000001,23.314,17106944,6.266317,0.1028,4285051,5.8096,10981685,14.995999999999999,17273106,23.67,17139725,23.487,344982528,1879.5,1.9934619999999998,175319040,952.6,2.0,23.557,17265437,23.385,23.318,0.0552,26.268,19308544,8178892800,2726297600,27276288.0,8392704,4196352,4066908160.0,35668992,5452595200,907610112,110790.0,0.7553989999999999,69.20495187165777
21,binomialOptions,1202,715,input00,binomialOptionsKernel,18.814,(1024 1 1) (256 1 1),8192.0,0.903422,0.9997,0.9477,0.7844939999999999,1.0,235282432,30.559,19243008,7.813721000000001,27.073,17106944,6.266317,0.1028,4283917,6.7605,10942329,17.267,17271541,27.275,17139725,27.066,344982528,2183.3,1.9934619999999998,175319040,1110.1,2.0,27.198,17265401,27.0,27.11,0.0552,30.54,19308544,8178892800,2726297600,27276288.0,8392704,4196352,4066908160.0,35668992,5452595200,907610112,110790.0,0.755113,85.41857219251337
22,binomialOptions,1328,715,input00,binomialOptionsKernel,17.118,(1024 1 1) (256 1 1),8192.0,0.9021899999999999,0.9997,0.9593,0.784223,1.0,235282432,33.676,19243008,7.813721000000001,30.178,17106944,6.266317,0.1028,4295729,7.5446,10983478,19.249000000000002,17273866,30.265,17139725,30.03,344982528,2422.3,1.9934619999999998,175319040,1232.1,2.0,30.125,17265640,29.906,30.228,0.0552,34.053000000000004,19308544,8178892800,2726297600,27276288.0,8392704,4196352,4066908160.0,35668992,5452595200,907610112,110790.0,0.755297,106.66554010695187
28,cfd,607,715,input00,cuda_compute_flux,1.4221,(1212 1 1) (192 1 1),7272.0,0.901954,0.9695,0.8676999999999999,0.298906,0.9935,1353918,86.929,4168816,13.983591,3.0342,145440,4.0,0.3301,5883809,122.46,8397050,174.25,13508937,280.27,10148027,210.54,0,0.0,0.0,0,0.0,0.0,280.25,13505921,210.57,210.61,0.4818,247.34,11918034,0,0,150331499.0,55777012,5610493,73701840.0,115570115,0,14597869,2007.4,0.341314,69.88503592814372
29,cfd,810,715,input00,cuda_compute_flux,1.3668,(1212 1 1) (192 1 1),7272.0,0.910618,0.9695,0.8861,0.22835300000000003,0.9935,1353918,90.464,4168816,13.983591,3.1535,145440,4.0,0.3331,5999995,130.14,8393019,180.42,13498415,289.84,10148027,217.88,0,0.0,0.0,0,0.0,0.0,290.35,13496495,218.31,218.29,0.482,256.36,11918034,0,0,150331499.0,55777012,5610493,73701840.0,115570115,0,14597869,2007.4,0.26060900000000004,72.7272831325301
25,cfd,1012,715,input00,cuda_compute_flux,1.2803,(1212 1 1) (192 1 1),7272.0,0.913891,0.9695,0.8978,0.192697,0.9935,1353918,96.35700000000001,4168816,13.983591,3.3649,145440,4.0,0.3343,6027348,139.47,8385535,192.67,13495509,310.23,10148030,233.28,0,0.0,0.0,0,0.0,0.0,310.49,13490834,233.56,233.03,0.4821,273.68,11918034,0,0,150331499.0,55777012,5610493,73701840.0,115570115,0,14597869,2007.4,0.220869,77.2890650887574
26,cfd,1202,715,input00,cuda_compute_flux,1.2479,(1212 1 1) (192 1 1),7272.0,0.9128040000000001,0.9695,0.9103,0.163224,0.9935,1353918,98.932,4168816,13.983591,3.4524,145440,4.0,0.3337,6030677,143.02,8383951,198.04,13496428,318.7,10148027,239.63,0,0.0,0.0,0,0.0,0.0,318.38,13493467,239.44,239.51,0.4821,281.29,11918034,0,0,150331499.0,55777012,5610493,73701840.0,115570115,0,14597869,2007.4,0.187437,86.0039107142857
27,cfd,1328,715,input00,cuda_compute_flux,1.2317,(1212 1 1) (192 1 1),7272.0,0.9111950000000001,0.9695,0.9196,0.149864,0.9935,1353918,100.31,4168816,13.983591,3.5046,145440,4.0,0.3331,6021759,144.95,8380398,200.72,13498797,322.67,10148027,242.56,0,0.0,0.0,0,0.0,0.0,322.27,13495311,242.34,242.53,0.4821,284.83,11918034,0,0,150331499.0,55777012,5610493,73701840.0,115570115,0,14597869,2007.4,0.17217000000000002,99.91924096385544
33,conjugateGradient,607,715,input00,csrMv_kernel,1.9916,(262144 1 1) (4 32 1),1048576.0,0.857977,0.8764,0.996,2.444101,1.0,14680064,368.81,22020094,6.999999000000001,17.541,1048576,1.0,0.631,8388775,139.85,1346687,22.464000000000002,9697511,162.05,1048601,17.522000000000002,6291456,422.58,1.0,2097152,140.16,1.0,162.37,9697077,17.555999999999997,17.611,0.7071999999999999,352.23,20971520,0,0,134217722.0,25165822,0,1199570930.0,142606332,0,95420416,91.0,1.557403,73.2209254658385
34,conjugateGradient,810,715,input00,csrMv_kernel,1.4938,(262144 1 1) (4 32 1),1048576.0,0.8964620000000001,0.8764,0.996,2.439673,1.0,14680064,489.64,22020094,6.999999000000001,23.348000000000003,1048576,1.0,0.631,8388700,186.68,1342952,29.875,9696927,216.1,1199825,26.738000000000003,6291456,558.36,1.0,2097152,186.14,1.0,216.35,9696702,23.395,23.329,0.7071999999999999,466.59,20971520,0,0,134217722.0,25165822,0,1199570930.0,142606332,0,95420416,91.0,1.559687,82.32689024390244
30,conjugateGradient,1012,715,input00,csrMv_kernel,1.1982,(262144 1 1) (4 32 1),1048576.0,0.90323,0.8764,0.996,2.325644,1.0,14680064,594.17,22020094,6.999999000000001,28.236,1048576,1.0,0.631,8388685,225.92,1243945,33.468,9696617,261.44,1072281,28.91,6291456,678.23,1.0,2097152,225.8,1.0,262.08,9696366,28.340999999999998,28.364,0.7071999999999999,567.31,20971520,0,0,134217722.0,25165822,0,1199570930.0,142606332,0,95420416,91.0,1.514612,89.07454819277109
31,conjugateGradient,1202,715,input00,csrMv_kernel,1.0455,(262144 1 1) (4 32 1),1048576.0,0.8955209999999999,0.8764,0.9957,2.196066,1.0,14680064,674.0,22020094,6.999999000000001,32.095,1048576,1.0,0.6311,8388691,256.1,1133649,34.673,9694629,297.05,1048589,32.13,6291456,771.03,1.0,2097152,256.71,1.0,297.07,9694252,32.132,32.132,0.7073,642.65,20971520,0,0,134217722.0,25165822,0,1199570930.0,142606332,0,95420416,91.0,1.451327,103.94026506024099
32,conjugateGradient,1328,715,input00,csrMv_kernel,0.9716299999999999,(262144 1 1) (4 32 1),1048576.0,0.900266,0.8764,0.996,2.105701,1.0,14680064,716.06,22020094,6.999999000000001,34.061,1048576,1.0,0.6311,8388696,271.07,1285482,41.567,9693808,315.1,1048589,34.083,6291456,818.71,1.0,2097152,272.83,1.0,315.35,9693526,34.111,34.085,0.7073,681.71,20971520,0,0,134217722.0,25165822,0,1199570930.0,142606332,0,95420416,91.0,1.4033879999999999,125.45910909090908
38,convolutionSeparable,607,715,input00,convolutionRowsKernel,3.3929,(80 2560 1) (16 4 1),409600.0,0.764143,1.0,0.9976,1.5864129999999999,1.0,2048000,290.68,32686080,8.0,116.88,13107200,4.0,0.5002,13107658,116.82,15166456,135.1,16338018,145.34,14958413,133.07,105676800,3771.4,2.0,8192000,291.81,2.0,145.13,16337350,116.44,116.72,0.5001,145.54,16343040,0,0,3565158400.0,1782579200,0,275251200.0,1782579200,0,134748160,328.975,1.168879,61.063522727272726
39,convolutionSeparable,810,715,input00,convolutionRowsKernel,2.5542,(80 2560 1) (16 4 1),409600.0,0.7626470000000001,1.0,0.9975,1.588596,1.0,2048000,386.08,32686080,8.0,155.16,13107200,4.0,0.5002,13109527,155.0,14661251,173.16,16337614,193.22,14655567,173.32,105676800,4998.5,2.0,8192000,386.75,2.0,193.34,16336923,155.12,154.83,0.5001,193.06,16343040,0,0,3565158400.0,1782579200,0,275251200.0,1782579200,0,134748160,328.975,1.1682299999999999,68.38684150943396
35,convolutionSeparable,1012,715,input00,convolutionRowsKernel,2.0478,(80 2560 1) (16 4 1),409600.0,0.76117,1.0,0.9966,1.559479,1.0,2048000,481.63,32686080,8.0,193.4,13107200,4.0,0.5002,13154299,194.01,14468066,213.79,16337374,240.7,14327431,211.08,105676800,6238.1,2.0,8192000,483.59,2.0,240.72,16336882,193.13,193.58,0.5001,241.37,16343040,0,0,3565158400.0,1782579200,0,275251200.0,1782579200,0,134748160,328.975,1.167606,73.5377030075188
36,convolutionSeparable,1202,715,input00,convolutionRowsKernel,1.7307,(80 2560 1) (16 4 1),409600.0,0.752745,1.0,0.9968,1.4312850000000001,1.0,2048000,568.6,32686080,8.0,228.13,13107200,4.0,0.5002,13541036,234.99,14337026,249.07,16337350,284.15,14330811,249.25,105676800,7355.9,2.0,8192000,570.64,2.0,284.36,16337034,228.14,228.25,0.5001,284.59,16343040,0,0,3565158400.0,1782579200,0,275251200.0,1782579200,0,134748160,328.975,1.164436,84.07480898876403
37,convolutionSeparable,1328,715,input00,convolutionRowsKernel,1.6053,(80 2560 1) (16 4 1),409600.0,0.746375,1.0,0.9967,1.253142,1.0,2048000,595.52,32686080,8.0,241.43,13107200,4.0,0.5012,13526009,239.19,14581282,257.55,16306104,297.51,14134726,257.72,105676800,7721.4,2.0,8192000,598.83,2.0,298.48,16314511,239.8,240.93,0.5004,300.41,16343040,0,0,3565158400.0,1782579200,0,275251200.0,1782579200,0,134748160,328.975,1.1333739999999999,102.03732330827069
43,convolutionTexture,607,715,input00,convolutionRowsKernel,13.856,(640 854 1) (16 12 1),3279360.0,0.863298,1.0,0.9994,0.774684,1.0,6556160,0.0,0,0.0,28.234,13107200,4.0,0.0,13107860,28.143,14492600,31.145,25939446,55.781000000000006,13656694,29.366,0,0.0,0.0,0,0.0,0.0,55.849,25943912,28.215,28.195999999999998,0.9503,958.69,445644800,0,0,5557452800.0,1782579200,0,2202992640.0,3774873600,0,311347200,94.941452,0.65198,40.9581090909091
44,convolutionTexture,810,715,input00,convolutionRowsKernel,10.642000000000001,(640 854 1) (16 12 1),3279360.0,0.869079,1.0,0.9994,0.777609,1.0,6556160,0.0,0,0.0,36.644,13107200,4.0,0.0,13107801,36.61,14315409,40.019,25549277,71.477,13711478,38.358000000000004,0,0.0,0.0,0,0.0,0.0,71.503,25548447,36.683,36.667,0.9508,1246.7,445644800,0,0,5557452800.0,1782579200,0,2202992640.0,3774873600,0,311347200,94.941452,0.638013,41.00396842105263
40,convolutionTexture,1012,715,input00,convolutionRowsKernel,8.9532,(640 854 1) (16 12 1),3279360.0,0.868764,1.0,0.9995,0.728342,1.0,6556160,0.0,0,0.0,43.452,13107200,4.0,0.0,13107625,43.386,14547573,48.21,25515171,84.508,13806058,45.724,0,0.0,0.0,0,0.0,0.0,84.65299999999999,25516949,43.483000000000004,43.49100000000001,0.9509,1478.7,445644800,0,0,5557452800.0,1782579200,0,2202992640.0,3774873600,0,311347200,94.941452,0.60564,48.6363905109489
41,convolutionTexture,1202,715,input00,convolutionRowsKernel,7.8046,(640 854 1) (16 12 1),3279360.0,0.869497,1.0,0.9993,0.708812,1.0,6556160,0.0,0,0.0,50.199,13107200,4.0,0.0,13107726,50.113,13865938,53.038999999999994,25457875,97.51100000000001,13212842,50.61,0,0.0,0.0,0,0.0,0.0,97.524,25457261,50.211999999999996,50.217,0.951,1707.4,445644800,0,0,5557452800.0,1782579200,0,2202992640.0,3774873600,0,311347200,94.941452,0.589695,57.006883211678826
42,convolutionTexture,1328,715,input00,convolutionRowsKernel,7.3155,(640 854 1) (16 12 1),3279360.0,0.8682639999999999,1.0,0.9993,0.686258,1.0,6556160,0.0,0,0.0,53.457,13107200,4.0,0.0,13107598,53.352,13760120,56.032,25436272,103.76,13107213,53.461999999999996,0,0.0,0.0,0,0.0,0.0,103.76,25437380,53.463,53.464,0.951,1817.8,445644800,0,0,5557452800.0,1782579200,0,2202992640.0,3774873600,0,311347200,94.941452,0.5729489999999999,66.01304428044281
48,dxtc,607,715,input00,compress,14.832,(16384 1 1) (64 1 1),32768.0,0.982348,0.9716,0.989,0.434383,0.9922,24018993,8.2953,4128759,7.875,0.033379,16383,1.0,0.5904,138830477,278.88,63858643,128.75,183912298,370.46,64225115,129.37,3555321,28.57,1.391026,1378415,11.077,0.751179,370.81,183905550,129.5,129.51,0.5021,373.97,185450330,0,0,3660571608.0,1413149985,20971478,1472891776.0,2301947467,0,244565135,7463.6,0.483645,82.12043790849673
