,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
28,cfd,802,877,input00,cuda_compute_flux,0.4959,(1212 1 1) (192 1 1),7272.0,0.835824,0.899,0.9695,0.8287690000000001,0.9943,9966826,168.24,2802262,9.399673,8.7153,145440,4.0,0.157,4149623,255.19,3755476,230.37,5975359,365.72,4462793,274.05,0,0.0,0.0,0,0.0,0.0,367.12,5973337,273.67,273.53,0.188,572.29,2384635,0,0,150331499.0,55777012,5610493,55879588.0,115570115,0,12560468,1727.2,0.436065,91.12742
29,cfd,945,877,input00,cuda_compute_flux,0.42551000000000005,(1212 1 1) (192 1 1),7272.0,0.839778,0.8953,0.9695,0.802678,0.9943,9966826,196.28,2802123,9.400049000000001,10.135,145440,4.0,0.15689999999999998,4148478,294.22,3753435,269.27,5971941,425.07,4462793,317.15,0,0.0,0.0,0,0.0,0.0,425.25,5977405,318.56,318.11,0.1873,665.13,2384591,0,0,150331499.0,55777012,5610493,55879588.0,115570115,0,12560468,1727.2,0.427175,101.50267
25,cfd,1087,877,input00,cuda_compute_flux,0.41238,(1212 1 1) (192 1 1),7272.0,0.843306,0.898,0.9695,0.723616,0.9943,9966826,201.07,2802887,9.40192,10.475,145440,4.0,0.15869999999999998,4151761,305.67,3751435,277.36,5975833,441.11,4462793,328.38,0,0.0,0.0,0,0.0,0.0,440.34,5979371,328.17,328.24,0.1874,686.88,2385635,0,0,150331499.0,55777012,5610493,55879588.0,115570115,0,12560468,1727.2,0.387083,97.79662000000002
26,cfd,1237,877,input00,cuda_compute_flux,0.40038,(1212 1 1) (192 1 1),7272.0,0.8479040000000001,0.9015,0.9695,0.656884,0.9943,9966826,208.4,2803414,9.403878,10.748,145440,4.0,0.159,4164527,315.08,3753279,285.33,5985656,454.43,4462793,337.36,0,0.0,0.0,0,0.0,0.0,454.92,5992612,337.65,338.14,0.1862,708.42,2385839,0,0,150331499.0,55777012,5610493,55879588.0,115570115,0,12560468,1727.2,0.35084899999999997,110.11089
27,cfd,1380,877,input00,cuda_compute_flux,0.39445,(1212 1 1) (192 1 1),7272.0,0.859678,0.8959999999999999,0.9695,0.597272,0.9943,9966826,210.52,2804217,9.407589,10.936,145440,4.0,0.1595,4192127,321.33,3749391,289.65,5999654,460.85,4462793,343.94,0,0.0,0.0,0,0.0,0.0,463.22,6011177,342.99,342.81,0.1851,721.07,2387527,0,0,150331499.0,55777012,5610493,55879588.0,115570115,0,12560468,1727.2,0.317103,143.075
33,conjugateGradient,802,877,input00,csrMv_kernel,0.71272,(262144 1 1) (4 32 1),1048576.0,0.846733,0.9905,0.8665,3.599044,0.75,50331648,438.62,10416165,3.3111379999999997,43.281000000000006,1048576,1.0,0.27440000000000003,8388660,353.29,1122066,64.36,9699058,400.56,1494746,44.198,7277558,1227.0,1.156656,2222355,374.83,1.059843,409.03,9698943,43.43600000000001,43.818999999999996,0.5119,2673.1,20046228,0,0,134217722.0,25165822,0,922746874.0,142606332,0,92274688,88.0,2.049363,99.96693
34,conjugateGradient,945,877,input00,csrMv_kernel,0.61082,(262144 1 1) (4 32 1),1048576.0,0.8581469999999999,0.9904,0.8665,3.5555480000000004,0.75,50331648,513.79,10415966,3.31112,50.424,1048576,1.0,0.27440000000000003,8388717,413.82,1122016,75.69800000000001,9698903,470.54,1426377,51.64,7276514,1434.0,1.156971,2221810,437.48,1.0595290000000002,477.77,9698849,50.971000000000004,51.218,0.5119,3123.0,20046094,0,0,134217722.0,25165822,0,922746874.0,142606332,0,92274688,88.0,2.033399,111.15572
30,conjugateGradient,1087,877,input00,csrMv_kernel,0.5644199999999999,(262144 1 1) (4 32 1),1048576.0,0.885791,0.9913,0.8665,3.308497,0.75,50331648,556.42,10415647,3.3109839999999995,53.891999999999996,1048576,1.0,0.2745,8388662,448.12,1121862,74.872,9698401,511.78,1178806,56.068999999999996,7264964,1552.8,1.154867,2211059,472.36,1.054343,518.49,9698204,55.251000000000005,55.678999999999995,0.5119,3386.5,20046139,0,0,134217722.0,25165822,0,922746874.0,142606332,0,92274688,88.0,1.9189310000000002,121.30023000000004
31,conjugateGradient,1237,877,input00,csrMv_kernel,0.53075,(262144 1 1) (4 32 1),1048576.0,0.9042120000000001,0.9912,0.8665,3.0517849999999997,0.75,50331648,590.1,10415353,3.3109629999999997,56.88399999999999,1048576,1.0,0.2745,8388628,475.94,1122046,75.355,9697389,542.11,1189731,59.468999999999994,7247728,1645.0,1.152321,2199502,499.16,1.0486799999999998,549.89,9697290,58.646,59.367,0.512,3593.0,20046189,0,0,134217722.0,25165822,0,922746874.0,142606332,0,92274688,88.0,1.7889220000000001,122.56523
32,conjugateGradient,1380,877,input00,csrMv_kernel,0.50973,(262144 1 1) (4 32 1),1048576.0,0.9158700000000001,0.992,0.8665,2.804943,0.75,50331648,612.28,10415272,3.310895,59.451,1048576,1.0,0.2746,8388680,493.34,1122040,69.066,9696740,568.7,1064634,61.638000000000005,7236237,1700.4,1.15018,2189041,514.54,1.043757,569.6,9696571,61.583,61.593999999999994,0.512,3723.9,20046322,0,0,134217722.0,25165822,0,922746874.0,142606332,0,92274688,88.0,1.656241,164.54781
