,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
28,BlackScholes,800,800,input00,BlackScholesGPU,0.20838,(3584 1 1) (128 1 1),14336.0,0.888193,0.9621,1.0,1.311569,1.0,243712,24.413,344064,8.0,16.27,114688,4.0,0.5,172097,24.409000000000002,113454,15.955,172243,25.005,114694,16.627,0,0.0,0.0,0,0.0,0.0,24.906999999999996,172032,16.623,16.611,0.5,24.320999999999998,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.904941,46.32346491228071
29,BlackScholes,800,900,input00,BlackScholesGPU,0.18326,(3584 1 1) (128 1 1),14336.0,0.88655,0.9588,1.0,1.517431,1.0,243712,27.712,344064,8.0,18.412,114688,4.0,0.5,172098,27.743000000000002,113456,18.227999999999998,172327,28.315,114697,18.864,0,0.0,0.0,0,0.0,0.0,28.264,172032,18.846,18.862000000000002,0.5,27.546999999999997,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.030708,47.36107826086956
24,BlackScholes,800,1000,input00,BlackScholesGPU,0.16359,(3584 1 1) (128 1 1),14336.0,0.883432,0.9551,1.0,1.7284419999999998,1.0,243712,30.918000000000003,344064,8.0,20.636,114688,4.0,0.5,172090,30.94,113706,20.559,172294,31.585,114694,21.070999999999998,0,0.0,0.0,0,0.0,0.0,31.555,172032,21.058000000000003,21.055999999999997,0.5,30.862,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.15525,48.49458974358974
31,BlackScholes,900,500,input00,BlackScholesGPU,0.35545,(3584 1 1) (128 1 1),14336.0,0.90079,0.972,1.0,0.625215,1.0,243712,14.379000000000001,344064,8.0,9.5814,114688,4.0,0.5,172086,14.394,112104,9.2434,172290,14.6,114694,9.6653,0,0.0,0.0,0,0.0,0.0,14.59,172032,9.7444,9.7398,0.5,14.321,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.461463,43.968
32,BlackScholes,900,600,input00,BlackScholesGPU,0.28694000000000003,(3584 1 1) (128 1 1),14336.0,0.89671,0.9705,1.0,0.804379,1.0,243712,17.847,344064,8.0,11.879000000000001,114688,4.0,0.5,172103,17.825,112287,11.427999999999999,172246,18.23,114694,12.138,0,0.0,0.0,0,0.0,0.0,18.213,172032,12.142999999999999,12.152000000000001,0.5,17.697,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.575181,45.91145794392522
33,BlackScholes,900,700,input00,BlackScholesGPU,0.24101999999999998,(3584 1 1) (128 1 1),14336.0,0.894805,0.9668,1.0,0.9645020000000001,1.0,243712,21.17,344064,8.0,14.097999999999999,114688,4.0,0.5,172100,21.173000000000002,112812,13.699000000000002,172375,21.693,114694,14.408,0,0.0,0.0,0,0.0,0.0,21.654,172032,14.431,14.432,0.5,21.058000000000003,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.6827880000000001,47.55824107142857
34,BlackScholes,900,800,input00,BlackScholesGPU,0.20791,(3584 1 1) (128 1 1),14336.0,0.891026,0.9632,1.0,1.1386040000000002,1.0,243712,24.516,344064,8.0,16.320999999999998,114688,4.0,0.5,172080,24.511,113355,15.982000000000001,172354,25.073,114694,16.685,0,0.0,0.0,0,0.0,0.0,24.997,172032,16.686,16.692999999999998,0.5,24.385,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.792569,48.513587719298236
35,BlackScholes,900,900,input00,BlackScholesGPU,0.18298,(3584 1 1) (128 1 1),14336.0,0.8886149999999999,0.961,1.0,1.309396,1.0,243712,27.758000000000003,344064,8.0,18.485,114688,4.0,0.5,172076,27.741,113600,18.224,172339,28.401,114694,18.908,0,0.0,0.0,0,0.0,0.0,28.384,172032,18.877,18.904,0.5,27.631,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.900071,49.89381034482759
30,BlackScholes,900,1000,input00,BlackScholesGPU,0.16329000000000002,(3584 1 1) (128 1 1),14336.0,0.8857299999999999,0.9575,1.0,1.490947,1.0,243712,31.037,344064,8.0,20.71,114688,4.0,0.5,172100,31.073,113764,20.476,172327,31.753,114694,21.112,0,0.0,0.0,0,0.0,0.0,31.638,172032,21.14,21.148000000000003,0.5,30.958000000000002,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.0139690000000001,51.093042735042744
1,BlackScholes,1000,500,input00,BlackScholesGPU,0.3587,(3584 1 1) (128 1 1),14336.0,0.902185,0.9735,1.0,0.561589,1.0,243712,14.36,344064,8.0,9.5489,114688,4.0,0.5,175510,14.464,112239,9.1428,175400,14.689,114694,9.7072,0,0.0,0.0,0,0.0,0.0,14.558,172032,9.7463,9.7454,0.5,14.273,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.41773599999999994,44.6385465116279
