kernel,coreF,memF,real,predict
convolutionSeparable,900,900,34147.181143,34580.354854
convolutionSeparable,1000,1000,33752.881900,34204.756270
convolutionSeparable,1000,900,37904.826750,38298.911072
convolutionSeparable,900,800,38873.298140,39246.372257
convolutionSeparable,800,700,40058.795747,40412.657988
convolutionSeparable,700,600,42801.086907,42634.020248
convolutionSeparable,600,500,45062.698933,45397.286364
convolutionSeparable,500,400,48805.146849,49234.010467
convolutionSeparable,1000,800,43095.338000,43442.264028
convolutionSeparable,900,700,45190.819600,45481.180203
convolutionSeparable,800,600,47759.719040,47958.681794
convolutionSeparable,700,500,52804.704919,52996.721766
convolutionSeparable,1000,700,50194.754167,50415.025795
convolutionSeparable,600,400,57754.588580,58604.553835
convolutionSeparable,900,600,53952.266070,54083.194957
convolutionSeparable,800,500,59849.329369,59278.730277
convolutionSeparable,1000,600,59871.786647,59895.396297
convolutionSeparable,700,400,66579.076861,67167.117678
convolutionSeparable,900,500,67001.081738,66245.969858
convolutionSeparable,800,400,75954.929802,76433.508893
convolutionSeparable,1000,500,74067.103289,73169.595872
convolutionSeparable,900,400,85287.635637,85359.948848
convolutionSeparable,1000,400,95797.720333,95307.907637
convolutionTexture,400,1000,3928.945061,2165.014117
convolutionTexture,400,900,3922.023704,2364.871857
convolutionTexture,400,800,3922.157922,2626.862261
convolutionTexture,500,1000,4061.356800,2579.410239
convolutionTexture,500,900,4063.008008,2800.461322
convolutionTexture,400,700,3926.928328,2952.999483
convolutionTexture,600,1000,4047.641363,2950.532213
convolutionTexture,500,800,4071.517594,3135.939490
convolutionTexture,400,600,4015.132518,3421.093124
convolutionTexture,600,900,4071.955965,3242.625626
convolutionTexture,700,1000,4063.594904,3339.725137
convolutionTexture,500,700,4169.605519,3558.154371
convolutionTexture,600,800,4195.905090,3612.752438
convolutionTexture,700,900,4209.503317,3679.621329
convolutionTexture,400,500,4717.960717,4068.239884
convolutionTexture,800,1000,4249.799468,3730.784767
convolutionTexture,500,600,4501.845965,4117.621166
convolutionTexture,600,700,4511.923820,4143.403833
convolutionTexture,700,800,4501.832544,4117.960058
convolutionTexture,800,900,4526.134173,4122.468336
convolutionTexture,900,1000,4517.873536,4122.571188
convolutionTexture,400,400,5742.911627,5185.762436
convolutionTexture,500,500,5644.808137,4961.852598
convolutionTexture,600,600,5121.791915,4861.157407
convolutionTexture,700,700,4993.075235,4695.287732
convolutionTexture,800,800,4946.712022,4621.919016
convolutionTexture,900,900,4901.479828,4567.034283
convolutionTexture,1000,1000,4876.502523,4517.718153
convolutionTexture,1000,900,5278.617116,5006.272974
convolutionTexture,900,800,5359.461100,5126.070763
convolutionTexture,800,700,5502.494631,5277.777940
convolutionTexture,700,600,5718.083078,5521.673718
convolutionTexture,600,500,6549.771204,5838.599967
convolutionTexture,500,400,6879.481219,6312.697162
convolutionTexture,1000,800,5863.174472,5629.407647
convolutionTexture,900,700,6063.980968,5862.903572
convolutionTexture,800,600,6385.198899,6181.759011
convolutionTexture,700,500,7440.771981,6724.303349
convolutionTexture,1000,700,6659.020313,6451.183687
convolutionTexture,600,400,8052.179877,7429.850669
convolutionTexture,900,600,7081.113519,6878.472071
convolutionTexture,800,500,8200.312680,7496.215274
convolutionTexture,1000,600,7797.605672,7581.700823
convolutionTexture,700,400,9000.269324,8458.696898
convolutionTexture,900,500,9076.007728,8361.028069
convolutionTexture,800,400,10159.217231,9588.400616
convolutionTexture,1000,500,9955.009092,9225.869459
convolutionTexture,900,400,11291.468638,10706.481268
convolutionTexture,1000,400,12470.119826,11846.707606
fastWalshTransform,400,1000,8707.711647,10729.199582
fastWalshTransform,400,900,8765.153939,10754.481593
fastWalshTransform,400,800,9879.378371,10819.291828
fastWalshTransform,500,1000,9560.162644,10788.984319
fastWalshTransform,500,900,10614.185095,10831.531057
fastWalshTransform,400,700,11443.466600,11134.469078
fastWalshTransform,600,1000,11327.269106,11154.065921
fastWalshTransform,500,800,12175.144150,11942.345342
fastWalshTransform,400,600,13891.076680,13225.045616
fastWalshTransform,600,900,12631.752242,12503.442359
fastWalshTransform,700,1000,13108.763115,12990.616641
fastWalshTransform,500,700,14108.544723,13903.092433
fastWalshTransform,600,800,14376.644567,14218.898466
fastWalshTransform,700,900,14673.957116,14561.088343
fastWalshTransform,400,500,16411.772749,16359.736891
fastWalshTransform,800,1000,14903.221200,14818.780297
fastWalshTransform,500,600,16819.875203,16490.357542
fastWalshTransform,600,700,16833.877042,16584.013674
fastWalshTransform,700,800,16660.401496,16561.343941
fastWalshTransform,800,900,16686.508871,16609.393338
fastWalshTransform,900,1000,16702.712362,16644.350143
fastWalshTransform,400,400,20989.403300,21250.371735
fastWalshTransform,500,500,20452.702102,20398.212867
fastWalshTransform,600,600,20047.801351,19711.320151
fastWalshTransform,700,700,19306.312758,19184.626082
fastWalshTransform,800,800,19002.605062,18889.731533
fastWalshTransform,900,900,18762.303412,18662.438838
fastWalshTransform,1000,1000,18543.433147,18466.277242
fastWalshTransform,1000,900,20734.871437,20699.983956
fastWalshTransform,900,800,21265.631809,21221.884519
fastWalshTransform,800,700,21981.723260,21894.096920
fastWalshTransform,700,600,23431.547737,22973.911135
fastWalshTransform,600,500,24541.476984,24483.617650
fastWalshTransform,500,400,26217.413418,26422.105866
fastWalshTransform,1000,800,23625.415172,23562.721356
fastWalshTransform,900,700,24724.687584,24611.336427
fastWalshTransform,800,600,26254.613044,26032.839644
fastWalshTransform,700,500,28721.201696,28425.346281
fastWalshTransform,1000,700,27452.214431,27317.573233
fastWalshTransform,600,400,31601.711501,31729.428961
fastWalshTransform,900,600,29517.091483,29261.100379
fastWalshTransform,800,500,32341.644300,32113.621316
fastWalshTransform,1000,600,32810.359081,32483.962091
fastWalshTransform,700,400,36201.506527,36533.059974
fastWalshTransform,900,500,36425.415631,36097.009230
fastWalshTransform,800,400,41412.579847,41714.819271
fastWalshTransform,1000,500,40536.819925,40068.434587
fastWalshTransform,900,400,46653.020179,46890.954131
fastWalshTransform,1000,400,51822.663872,52096.275427
histogram,400,1000,1387742.340380,1383426.878408
histogram,400,900,1383737.401600,1379465.905980
histogram,400,800,1387882.034176,1383979.696144
histogram,500,1000,1448104.861013,1387431.154476
histogram,500,900,1443480.956089,1387410.823523
histogram,400,700,1389236.226048,1383963.198342
histogram,600,1000,1406393.943552,1350672.957401
histogram,500,800,1445281.442702,1387666.666427
histogram,400,600,1383510.344192,1378702.631208
histogram,600,900,1417323.156480,1360522.291791
histogram,700,1000,1420086.278613,1385595.552617
histogram,500,700,1441882.933333,1382714.450580
histogram,600,800,1409688.083285,1352706.475258
histogram,700,900,1419733.541831,1382318.269170
histogram,400,500,1379443.502933,1373640.676881
histogram,800,1000,1395148.241237,1346795.420383
histogram,500,600,1434172.229902,1374152.199598
histogram,600,700,1412264.523264,1354580.760582
histogram,700,800,1420900.343246,1382070.387091
histogram,800,900,1365983.484928,1318102.532531
histogram,900,1000,1359120.043008,1330446.949298
histogram,400,400,1361576.202923,1354629.025387
histogram,500,500,1426764.779093,1373140.182830
histogram,600,600,1393269.970816,1337409.771949
histogram,700,700,1402992.601074,1367769.608378
histogram,800,800,1363230.782635,1313628.992139
histogram,900,900,1370974.316800,1340198.073023
histogram,1000,1000,1397966.504391,1350266.276329
histogram,1000,900,1395069.929244,1344950.302846
histogram,900,800,1362530.444160,1329521.244330
histogram,800,700,1349863.314773,1299430.160972
