DRAMA,FP16A,FP32A,FP64A,SMACT,SMOCC,TENSO,argNo,average_power,benchmark,core_frequency,kernel,memory_frequency,time
0.30850819672131147,0.0,0.22327049180327874,0.0,0.7441147540983605,0.319065573770492,0.0,input000,122.16569999999999,cfd,1102,cuda_compute_flux,877,0.080448
0.3199741379310347,0.0,0.19849999999999984,0.0,0.7243448275862066,0.31192241379310365,0.0,input000,141.4459,cfd,1237,cuda_compute_flux,877,0.076823
0.3375210084033615,0.0,0.19246218487394934,0.0,0.723210084033613,0.3125294117647059,0.0,input000,165.471,cfd,1380,cuda_compute_flux,877,0.07277
0.08028695652173923,0.0,0.2801130434782607,0.0,0.8547913043478259,0.36159999999999975,0.0,input000,47.864799999999995,cfd,405,cuda_compute_flux,877,0.325988
0.11892241379310334,0.0,0.1890086206896554,0.0,0.8290862068965513,0.35794827586206895,0.0,input000,59.5052,cfd,502,cuda_compute_flux,877,0.218211
0.12824778761061972,0.0,0.16721238938053082,0.0,0.8122035398230084,0.35144247787610616,0.0,input000,63.39509999999999,cfd,600,cuda_compute_flux,877,0.197865
0.19443442622950788,0.0,0.2134016393442627,0.0,0.7821065573770493,0.33541803278688537,0.0,input000,80.43090000000001,cfd,705,cuda_compute_flux,877,0.129168
0.23987719298245572,0.0,0.2411578947368423,0.0,0.7632543859649125,0.32607017543859695,0.0,input000,91.8429,cfd,802,cuda_compute_flux,877,0.104565
0.2801583333333329,0.0,0.23870833333333305,0.0,0.7494750000000003,0.3199500000000003,0.0,input000,104.12809999999999,cfd,945,cuda_compute_flux,877,0.088662
0.6326272727272734,0.0,0.20438181818181828,0.0,0.9899090909090906,0.9569909090909083,0.0,input000,143.7914,convolutionSeparable,1087,convolutionRowsKernel,877,3.017425
0.6393873873873879,0.0,0.21046846846846864,0.0,0.9884864864864858,0.9559549549549536,0.0,input000,146.68440000000004,convolutionSeparable,1102,convolutionRowsKernel,877,2.985976
0.6967129629629631,0.0,0.20015740740740726,0.0,0.9899074074074079,0.9584537037037022,0.0,input000,173.0172,convolutionSeparable,1237,convolutionRowsKernel,877,2.760153
0.7453119266055049,0.0,0.1930917431192658,0.0,0.991761467889908,0.9607889908256878,0.0,input000,202.52259999999995,convolutionSeparable,1380,convolutionRowsKernel,877,2.578276
0.13518181818181818,0.0,0.22654545454545447,0.0,0.996745454545454,0.9651272727272726,0.0,input000,50.9341,convolutionSeparable,405,convolutionRowsKernel,877,14.078067
0.24346363636363638,0.0,0.17381818181818176,0.0,0.9945999999999998,0.9655454545454545,0.0,input000,69.9637,convolutionSeparable,502,convolutionRowsKernel,877,7.864119
0.2739819819819818,0.0,0.16192792792792804,0.0,0.9929999999999999,0.9639999999999992,0.0,input000,76.1142,convolutionSeparable,600,convolutionRowsKernel,877,7.000486
0.37248623853211016,0.0,0.18718348623853223,0.0,0.9937614678899086,0.9638348623853208,0.0,input000,91.91470000000001,convolutionSeparable,705,convolutionRowsKernel,877,5.140409
0.4700642201834863,0.0,0.20709174311926626,0.0,0.9935963302752288,0.9602752293577976,0.0,input000,106.6443,convolutionSeparable,802,convolutionRowsKernel,877,4.081397
0.5688073394495414,0.0,0.2174036697247706,0.0,0.9931284403669713,0.9581284403669723,0.0,input000,123.95840000000001,convolutionSeparable,945,convolutionRowsKernel,877,3.348702
0.15790909090909086,0.0,0.12000000000000015,0.0,0.9954909090909086,0.8727090909090905,0.0,input000,97.4056,convolutionTexture,1087,convolutionRowsKernel,877,5.916629
0.15901801801801813,0.0,0.11677477477477492,0.0,0.9965495495495493,0.8740000000000002,0.0,input000,101.0762,convolutionTexture,1102,convolutionRowsKernel,877,5.85964
0.17175675675675656,0.0,0.11661261261261248,0.0,0.9963693693693687,0.8743873873873867,0.0,input000,115.7651,convolutionTexture,1237,convolutionRowsKernel,877,5.408405
0.18583486238532107,0.0,0.10687155963302766,0.0,0.9932935779816504,0.8727614678899083,0.0,input000,142.08700000000002,convolutionTexture,1380,convolutionRowsKernel,877,5.029521
0.03398214285714278,0.0,0.1271250000000001,0.0,0.9986250000000007,0.8842500000000005,0.0,input000,39.257600000000004,convolutionTexture,405,convolutionRowsKernel,877,27.800659
0.05270175438596487,0.0,0.0878421052631579,0.0,0.9983596491228062,0.8880701754385965,0.0,input000,48.7456,convolutionTexture,502,convolutionRowsKernel,877,17.643293
0.05921428571428581,0.0,0.08442857142857156,0.0,0.9968124999999999,0.885714285714286,0.0,input000,51.920100000000005,convolutionTexture,600,convolutionRowsKernel,877,15.881964
